episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-2.6639,-2.6639,0.000,183,465,1.000,45,0.00,19,170.57,0,0,10.435(13.044%)(0.000m),17.096(17.096%)(0.000m),33.026(33.026%)(1.396m),100.000(100.000%)(8.571m),61.071(76.338%)(4.400m),10.435(26.087%)(0.047m),40.000(100.000%)(3.214m),None,None
2,1,-5.2417,-3.9528,0.383,315,780,0.998,60,0.00,51,412.86,0,0,44.079(55.099%)(2.580m),81.212(81.212%)(6.558m),29.129(29.129%)(0.978m),16.302(16.302%)(0.000m),10.386(12.982%)(0.000m),32.091(80.229%)(2.367m),11.041(27.602%)(0.112m),None,None
3,1,-3.8862,-3.9306,0.487,285,695,0.996,55,0.00,80,409.74,0,0,12.658(15.822%)(0.000m),26.169(26.169%)(0.661m),87.798(87.798%)(7.264m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),9.876(24.689%)(0.000m),40.000(100.000%)(3.214m),None,None
4,1,-4.8015,-4.1483,0.555,71,171,0.994,25,0.00,88,90.49,0,0,78.639(98.299%)(6.283m),90.846(90.846%)(7.591m),24.863(24.863%)(0.521m),14.994(14.994%)(0.000m),10.004(12.505%)(0.000m),40.000(100.000%)(3.214m),11.451(28.627%)(0.155m),None,None
5,1,-3.8450,-4.0877,0.562,100,240,0.992,30,0.00,98,169.78,0,0,69.098(86.372%)(5.260m),47.866(47.866%)(2.986m),19.667(19.667%)(0.000m),12.931(12.931%)(0.000m),9.171(11.464%)(0.000m),40.000(100.000%)(3.214m),11.755(29.387%)(0.188m),None,None
6,1,-3.9930,-4.0719,0.769,101,245,0.990,30,0.00,109,162.26,0,0,10.180(12.726%)(0.000m),15.487(15.487%)(0.000m),26.278(26.278%)(0.673m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),11.368(28.420%)(0.147m),40.000(100.000%)(3.214m),None,None
7,1,-4.6037,-4.1479,0.878,220,548,0.988,50,0.00,131,322.47,0,0,10.321(12.901%)(0.000m),16.908(16.908%)(0.000m),32.664(32.664%)(1.357m),100.000(100.000%)(8.571m),58.284(72.855%)(4.102m),10.321(25.801%)(0.034m),40.000(100.000%)(3.214m),None,None
8,1,-4.0202,-4.1319,0.784,482,1206,0.986,70,0.00,180,791.29,0,0,56.090(70.112%)(3.867m),34.000(34.000%)(1.500m),21.000(21.000%)(0.107m),20.000(20.000%)(0.000m),22.000(27.500%)(0.214m),40.000(100.000%)(3.214m),29.960(74.900%)(2.139m),0.000,1840.452
9,1,-2.9852,-4.0045,0.524,349,882,0.984,60,0.00,215,509.25,0,0,62.000(77.500%)(4.500m),70.000(70.000%)(5.357m),25.263(25.263%)(0.564m),14.889(14.889%)(0.000m),9.787(12.234%)(0.000m),40.000(100.000%)(3.214m),10.929(27.322%)(0.100m),None,None
10,1,-3.2008,-3.9241,0.307,209,521,0.982,50,0.00,236,340.10,0,0,57.193(71.491%)(3.985m),100.000(100.000%)(8.571m),34.096(34.096%)(1.510m),17.337(17.337%)(0.000m),10.486(13.108%)(0.000m),40.000(100.000%)(3.214m),10.359(25.897%)(0.038m),None,None
11,1,-3.5551,-3.8906,0.355,107,262,0.980,30,0.00,247,178.52,0,0,11.246(14.057%)(0.000m),20.384(20.384%)(0.041m),49.609(49.609%)(3.172m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.947(24.868%)(0.000m),40.000(100.000%)(3.214m),None,None
12,1,-3.0500,-3.8205,0.292,245,591,0.978,50,0.00,272,353.58,0,0,56.620(70.774%)(3.924m),100.000(100.000%)(8.571m),33.179(33.179%)(1.412m),17.175(17.175%)(0.000m),10.483(13.104%)(0.000m),40.000(100.000%)(3.214m),10.483(26.208%)(0.052m),None,None
13,1,-6.4253,-4.0209,0.305,341,831,0.976,60,0.00,307,553.20,0,0,24.443(30.554%)(0.476m),48.087(48.087%)(3.009m),20.063(20.063%)(0.007m),13.080(13.080%)(0.000m),9.218(11.523%)(0.000m),17.398(43.496%)(0.793m),11.665(29.163%)(0.178m),None,None
14,1,-3.1929,-3.9617,0.230,169,413,0.974,40,0.00,324,254.44,0,0,9.564(11.955%)(0.000m),13.571(13.571%)(0.000m),20.816(20.816%)(0.087m),52.302(52.302%)(3.461m),76.230(95.288%)(6.025m),12.103(30.257%)(0.225m),40.000(100.000%)(3.214m),None,None
15,1,-3.5391,-3.9336,0.294,98,236,0.972,30,0.00,334,160.96,0,0,9.637(12.046%)(0.000m),13.764(13.764%)(0.000m),21.296(21.296%)(0.139m),55.370(55.370%)(3.790m),67.684(84.605%)(5.109m),12.041(30.103%)(0.219m),40.000(100.000%)(3.214m),None,None
16,1,-5.0133,-4.0010,0.252,136,328,0.970,35,0.00,348,225.10,0,0,9.790(12.237%)(0.000m),13.804(13.804%)(0.000m),20.995(20.995%)(0.107m),51.096(51.096%)(3.332m),77.067(96.334%)(6.114m),12.548(31.370%)(0.273m),40.000(100.000%)(3.214m),None,None
17,1,-3.7170,-3.9843,0.198,79,198,0.968,25,0.00,356,129.30,0,0,9.043(11.304%)(0.000m),12.832(12.832%)(0.000m),19.682(19.682%)(0.000m),49.452(49.452%)(3.156m),77.067(96.334%)(6.114m),11.443(28.608%)(0.155m),40.000(100.000%)(3.214m),None,None
18,1,-4.1781,-3.9951,0.236,86,210,0.967,30,0.00,365,110.82,0,0,10.136(12.669%)(0.000m),15.782(15.782%)(0.000m),27.815(27.815%)(0.837m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.908(27.269%)(0.097m),40.000(100.000%)(3.214m),None,None
19,1,-2.2883,-3.9053,0.263,132,330,0.965,35,0.00,379,222.01,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),50.879(50.879%)(3.308m),20.905(20.905%)(0.097m),11.533(14.417%)(0.000m),40.000(100.000%)(3.214m),10.202(25.504%)(0.022m),None,None
20,1,-4.6173,-3.9409,0.224,329,818,0.963,60,0.00,412,481.98,0,0,10.198(12.748%)(0.000m),15.285(15.285%)(0.000m),25.345(25.345%)(0.573m),89.700(89.700%)(7.468m),43.387(54.234%)(2.506m),11.673(29.182%)(0.179m),31.497(78.744%)(2.303m),2267.102,2338.904
21,1,-1.3987,-3.8198,0.184,216,624,0.961,55,0.00,434,288.39,0,0,10.677(13.346%)(0.000m),17.492(17.492%)(0.000m),33.792(33.792%)(1.478m),60.000(60.000%)(4.286m),45.000(56.250%)(2.679m),10.677(26.692%)(0.073m),38.866(97.164%)(3.093m),667.078,962.191
22,1,-4.6099,-3.8557,0.186,103,249,0.959,30,0.00,445,117.26,0,0,11.014(13.767%)(0.000m),19.317(19.317%)(0.000m),43.233(43.233%)(2.489m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.109(25.272%)(0.012m),40.000(100.000%)(3.214m),None,None
23,1,-3.9732,-3.8608,0.173,406,1024,0.957,65,0.00,486,649.49,0,0,8.849(11.062%)(0.000m),12.031(12.031%)(0.000m),17.477(17.477%)(0.000m),36.474(36.474%)(1.765m),51.000(63.750%)(3.321m),12.262(30.655%)(0.242m),40.000(100.000%)(3.214m),840.549,1408.435
24,1,-5.5010,-3.9292,0.176,604,1478,0.955,75,0.00,547,933.92,0,0,10.225(12.781%)(0.000m),15.921(15.921%)(0.000m),28.060(28.060%)(0.864m),28.000(28.000%)(0.857m),24.000(30.000%)(0.429m),11.004(27.509%)(0.108m),22.811(57.026%)(1.373m),258.445,2246.422
25,1,-1.2141,-3.8206,0.181,383,991,0.953,65,0.00,586,610.18,0,0,46.893(58.616%)(2.881m),86.195(86.195%)(7.092m),35.000(35.000%)(1.607m),24.000(24.000%)(0.429m),23.000(28.750%)(0.321m),39.964(99.909%)(3.210m),40.000(100.000%)(3.214m),0.000,1064.346
26,1,-3.2564,-3.7989,0.209,178,444,0.951,45,0.00,604,292.57,0,0,53.326(66.658%)(3.571m),97.538(97.538%)(8.308m),57.193(57.193%)(3.985m),21.997(21.997%)(0.214m),11.855(14.818%)(0.000m),39.060(97.649%)(3.114m),10.229(25.574%)(0.025m),None,None
27,1,-1.2124,-3.7031,0.161,169,414,0.949,40,0.00,621,301.00,0,0,10.559(13.199%)(0.000m),17.146(17.146%)(0.000m),32.564(32.564%)(1.346m),100.000(100.000%)(8.571m),70.705(88.382%)(5.433m),10.689(26.723%)(0.074m),40.000(100.000%)(3.214m),None,None
28,1,-2.5270,-3.6611,0.164,110,269,0.947,30,0.00,632,177.44,0,0,77.786(97.233%)(6.191m),95.968(95.968%)(8.139m),24.455(24.455%)(0.477m),14.582(14.582%)(0.000m),9.658(12.073%)(0.000m),40.000(100.000%)(3.214m),10.919(27.296%)(0.098m),None,None
29,1,-2.2987,-3.6141,0.174,142,356,0.945,40,0.00,647,245.40,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),44.964(44.964%)(2.675m),19.571(19.571%)(0.000m),11.040(13.800%)(0.000m),40.000(100.000%)(3.214m),10.009(25.023%)(0.001m),None,None
30,1,-4.3361,-3.6382,0.212,321,832,0.944,60,0.00,680,558.02,0,0,10.225(12.782%)(0.000m),16.752(16.752%)(0.000m),32.362(32.362%)(1.325m),56.715(56.715%)(3.934m),27.349(34.186%)(0.787m),10.225(25.563%)(0.024m),19.465(48.663%)(1.014m),1399.516,1658.613
31,1,1.0740,-3.4862,0.171,190,468,0.942,45,0.00,699,289.39,0,0,68.874(86.093%)(5.237m),100.000(100.000%)(8.571m),51.077(51.077%)(3.330m),20.987(20.987%)(0.106m),11.578(14.473%)(0.000m),40.000(100.000%)(3.214m),10.242(25.604%)(0.026m),None,None
32,1,-6.9128,-3.5932,0.222,410,1011,0.940,65,0.00,740,642.93,0,0,20.419(25.523%)(0.045m),30.967(30.967%)(1.175m),16.029(16.029%)(0.000m),11.335(11.335%)(0.000m),8.529(10.661%)(0.000m),14.462(36.155%)(0.478m),12.469(31.172%)(0.265m),2840.702,3483.394
33,1,-2.4671,-3.5591,0.262,170,421,0.938,40,0.00,757,245.72,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),33.344(33.344%)(1.430m),17.260(17.260%)(0.000m),10.535(13.169%)(0.000m),40.000(100.000%)(3.214m),10.535(26.339%)(0.057m),None,None
