episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-4.7808,-4.7808,0.000,123,295,1.000,35,0.00,13,109.38,0,0,11.600(14.500%)(0.000m),21.026(21.026%)(0.110m),51.172(51.172%)(3.340m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.261(25.652%)(0.028m),40.000(100.000%)(3.214m),None,None
2,1,-3.4624,-4.1216,0.000,82,202,0.998,25,0.00,22,70.82,0,0,10.807(13.509%)(0.000m),18.034(18.034%)(0.000m),36.140(36.140%)(1.729m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.546(26.365%)(0.059m),40.000(100.000%)(3.214m),None,None
3,1,-3.8420,-4.0284,0.000,144,346,0.996,35,0.00,37,131.89,0,0,10.383(12.979%)(0.000m),15.677(15.677%)(0.000m),26.291(26.291%)(0.674m),100.000(100.000%)(8.571m),64.664(80.830%)(4.785m),11.738(29.345%)(0.186m),40.000(100.000%)(3.214m),None,None
4,1,-2.3276,-3.6032,0.000,193,471,0.994,45,0.00,57,178.07,0,0,10.828(13.535%)(0.000m),18.241(18.241%)(0.000m),37.285(37.285%)(1.852m),100.000(100.000%)(8.571m),64.588(80.735%)(4.777m),10.438(26.094%)(0.047m),40.000(100.000%)(3.214m),None,None
5,1,-5.5138,-3.9853,0.000,91,223,0.992,30,0.00,67,77.03,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),34.247(34.247%)(1.526m),17.413(17.413%)(0.000m),10.533(13.166%)(0.000m),40.000(100.000%)(3.214m),10.405(26.011%)(0.043m),None,None
6,1,-3.9946,-3.9869,0.000,93,224,0.990,30,0.00,77,81.68,0,0,78.639(98.299%)(6.283m),75.483(75.483%)(5.945m),23.315(23.315%)(0.355m),14.366(14.366%)(0.000m),9.723(12.154%)(0.000m),40.000(100.000%)(3.214m),11.409(28.523%)(0.151m),None,None
7,1,-0.8078,-3.5327,0.000,192,537,0.988,50,0.00,97,179.26,0,0,59.456(74.321%)(4.227m),89.000(89.000%)(7.393m),24.507(24.507%)(0.483m),14.268(14.268%)(0.000m),9.308(11.635%)(0.000m),40.000(100.000%)(3.214m),10.267(25.667%)(0.029m),1402.244,1449.367
8,1,-5.3300,-3.7574,0.000,180,435,0.986,45,0.00,115,161.88,0,0,10.873(13.592%)(0.000m),17.814(17.814%)(0.000m),34.414(34.414%)(1.544m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.873(27.184%)(0.094m),40.000(100.000%)(3.214m),None,None
9,1,-2.0412,-3.5667,0.000,126,340,0.984,40,0.00,128,114.55,0,0,10.180(12.725%)(0.000m),15.371(15.371%)(0.000m),25.777(25.777%)(0.619m),100.000(100.000%)(8.571m),64.546(80.683%)(4.773m),11.509(28.772%)(0.162m),40.000(100.000%)(3.214m),None,None
10,1,-0.7276,-3.2828,0.000,230,568,0.982,50,0.00,151,202.35,0,0,11.644(14.555%)(0.000m),21.106(21.106%)(0.118m),51.366(51.366%)(3.361m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.299(25.749%)(0.032m),40.000(100.000%)(3.214m),None,None
11,1,-3.2361,-3.2785,0.000,132,319,0.980,35,0.00,165,118.65,0,0,77.786(97.233%)(6.191m),85.193(85.193%)(6.985m),24.849(24.849%)(0.520m),15.150(15.150%)(0.000m),10.182(12.727%)(0.000m),40.000(100.000%)(3.214m),11.799(29.498%)(0.193m),None,None
12,1,-3.6342,-3.3082,0.000,61,154,0.978,20,0.00,172,54.01,0,0,9.485(11.856%)(0.000m),12.604(12.604%)(0.000m),17.825(17.825%)(0.000m),34.436(34.436%)(1.547m),77.067(96.334%)(6.114m),13.866(34.664%)(0.414m),40.000(100.000%)(3.214m),None,None
13,1,-2.9076,-3.2774,0.000,295,747,0.976,60,0.00,202,254.01,0,0,77.786(97.233%)(6.191m),91.000(91.000%)(7.607m),49.570(49.570%)(3.168m),20.367(20.367%)(0.039m),11.236(14.046%)(0.000m),40.000(100.000%)(3.214m),9.939(24.848%)(0.000m),None,None
14,1,-8.8839,-3.6778,0.000,455,1126,0.974,65,0.00,248,417.02,0,0,8.364(10.455%)(0.000m),11.115(11.115%)(0.000m),15.719(15.719%)(0.000m),30.366(30.366%)(1.111m),38.244(47.804%)(1.955m),12.227(30.568%)(0.239m),27.560(68.899%)(1.881m),2026.249,2504.548
15,1,-3.7431,-3.6822,0.000,171,428,0.972,40,0.00,266,156.76,0,0,9.792(12.240%)(0.000m),13.894(13.894%)(0.000m),21.312(21.312%)(0.141m),53.547(53.547%)(3.594m),57.993(72.491%)(4.071m),12.391(30.977%)(0.256m),40.000(100.000%)(3.214m),None,None
16,1,-0.9329,-3.5104,0.000,240,636,0.970,55,0.00,290,218.74,0,0,10.925(13.657%)(0.000m),17.899(17.899%)(0.000m),34.578(34.578%)(1.562m),79.000(79.000%)(6.321m),67.584(84.480%)(5.098m),10.925(27.313%)(0.099m),40.000(100.000%)(3.214m),None,None
17,1,-6.0873,-3.6619,0.000,439,1099,0.968,70,0.00,334,395.55,0,0,11.425(14.281%)(0.000m),20.949(20.949%)(0.102m),52.636(52.636%)(3.497m),55.000(55.000%)(3.750m),45.395(56.743%)(2.721m),9.981(24.953%)(0.000m),32.938(82.346%)(2.458m),1392.667,2035.401
18,1,-1.3789,-3.5351,0.000,124,301,0.967,35,0.00,347,117.38,0,0,9.151(11.439%)(0.000m),12.589(12.589%)(0.000m),18.554(18.554%)(0.000m),40.514(40.514%)(2.198m),67.666(84.582%)(5.107m),12.351(30.878%)(0.252m),40.000(100.000%)(3.214m),None,None
19,1,-1.7142,-3.4393,0.000,152,377,0.965,40,0.00,363,169.91,0,0,69.057(86.321%)(5.256m),100.000(100.000%)(8.571m),50.032(50.032%)(3.218m),20.557(20.557%)(0.060m),11.341(14.177%)(0.000m),40.000(100.000%)(3.214m),10.032(25.080%)(0.003m),None,None
20,1,0.1403,-3.2603,0.000,265,643,0.963,55,0.00,390,238.85,0,0,69.098(86.372%)(5.260m),100.000(100.000%)(8.571m),67.145(67.145%)(5.051m),22.902(22.902%)(0.311m),11.887(14.859%)(0.000m),40.000(100.000%)(3.214m),9.881(24.702%)(0.000m),None,None
21,1,-2.2474,-3.2121,0.000,249,608,0.961,50,0.00,415,226.93,0,0,74.888(93.610%)(5.881m),100.000(100.000%)(8.571m),54.285(54.285%)(3.673m),21.605(21.605%)(0.172m),11.783(14.728%)(0.000m),40.000(100.000%)(3.214m),10.294(25.736%)(0.032m),None,None
22,1,-4.7195,-3.2806,0.000,150,372,0.959,40,0.00,430,133.30,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),33.798(33.798%)(1.478m),17.495(17.495%)(0.000m),10.679(13.348%)(0.000m),40.000(100.000%)(3.214m),10.679(26.697%)(0.073m),None,None
23,1,-4.8566,-3.3491,0.000,220,592,0.957,50,0.00,452,201.35,0,0,10.468(13.085%)(0.000m),17.149(17.149%)(0.000m),33.130(33.130%)(1.407m),62.886(62.886%)(4.595m),30.409(38.012%)(1.115m),10.468(26.169%)(0.050m),21.782(54.456%)(1.262m),None,None
24,1,-1.3241,-3.2647,0.000,300,741,0.955,55,0.00,482,282.00,0,0,9.276(11.595%)(0.000m),13.078(13.078%)(0.000m),19.892(19.892%)(0.000m),48.411(48.411%)(3.044m),51.129(63.911%)(3.335m),11.889(29.722%)(0.202m),37.495(93.738%)(2.946m),None,None
25,1,-3.1595,-3.2605,0.000,143,356,0.953,40,0.00,497,128.66,0,0,12.678(15.848%)(0.000m),26.212(26.212%)(0.666m),78.002(78.002%)(6.215m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.892(24.729%)(0.000m),40.000(100.000%)(3.214m),None,None
26,1,-0.3603,-3.1490,0.565,204,516,0.951,50,0.00,518,231.10,0,0,11.922(14.902%)(0.000m),23.275(23.275%)(0.351m),71.544(71.544%)(5.523m),100.000(100.000%)(8.571m),70.564(88.206%)(5.418m),9.786(24.464%)(0.000m),40.000(100.000%)(3.214m),None,None
27,1,-2.2143,-3.1144,0.545,207,521,0.949,50,0.00,539,338.55,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),36.217(36.217%)(1.738m),17.719(17.719%)(0.000m),10.518(13.147%)(0.000m),40.000(100.000%)(3.214m),10.139(25.347%)(0.015m),None,None
28,1,-0.4951,-3.0208,0.509,166,409,0.947,40,0.00,556,271.87,0,0,72.046(90.057%)(5.576m),48.633(48.633%)(3.068m),19.983(19.983%)(0.000m),13.138(13.138%)(0.000m),9.318(11.648%)(0.000m),40.000(100.000%)(3.214m),11.943(29.858%)(0.208m),None,None
29,1,-6.1825,-3.1298,0.303,422,1054,0.945,65,0.00,599,706.78,0,0,9.995(12.493%)(0.000m),15.320(15.320%)(0.000m),26.314(26.314%)(0.677m),46.175(46.175%)(2.804m),22.136(27.670%)(0.229m),11.024(27.559%)(0.110m),15.666(39.166%)(0.607m),1581.195,2593.805
