episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-4.5783,-4.5783,0.000,203,513,1.000,30,0.00,21,437.93,0,0,10.142(12.677%)(0.000m),14.984(14.984%)(0.000m),24.319(24.319%)(0.463m),73.000(73.000%)(5.679m),67.000(83.750%)(5.036m),11.900(29.751%)(0.204m),40.000(100.000%)(3.214m),1475.951,1726.634
2,1,-4.3399,-4.4591,0.000,194,473,0.998,30,0.00,41,394.40,0,0,54.295(67.869%)(3.674m),99.000(99.000%)(8.464m),49.938(49.938%)(3.208m),20.519(20.519%)(0.056m),11.320(14.150%)(0.000m),39.581(98.952%)(3.169m),10.013(25.033%)(0.001m),None,None
3,1,-4.1101,-4.3428,0.000,123,297,0.996,20,0.00,54,245.73,0,0,11.595(14.494%)(0.000m),21.017(21.017%)(0.109m),51.151(51.151%)(3.338m),100.000(100.000%)(8.571m),67.684(84.605%)(5.109m),10.256(25.641%)(0.027m),40.000(100.000%)(3.214m),None,None
4,1,-5.6588,-4.6718,0.000,83,199,0.994,15,0.00,63,157.89,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),32.816(32.816%)(1.373m),16.987(16.987%)(0.000m),10.369(12.961%)(0.000m),40.000(100.000%)(3.214m),10.369(25.921%)(0.039m),None,None
5,1,-3.4394,-4.4253,0.680,99,243,0.992,20,0.00,73,307.45,0,0,11.054(13.818%)(0.000m),18.276(18.276%)(0.000m),35.944(35.944%)(1.708m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.920(27.300%)(0.099m),40.000(100.000%)(3.214m),None,None
6,1,-2.2876,-4.0690,0.554,357,920,0.990,45,0.00,109,1243.33,0,0,15.559(19.449%)(0.000m),33.129(33.129%)(1.407m),84.000(84.000%)(6.857m),20.000(20.000%)(0.000m),12.000(15.000%)(0.000m),10.924(27.310%)(0.099m),11.000(27.500%)(0.107m),1190.832,2017.268
7,1,-3.5896,-4.0005,0.488,75,186,0.988,15,0.00,117,220.43,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),27.778(27.778%)(0.833m),15.546(15.546%)(0.000m),9.904(12.380%)(0.000m),40.000(100.000%)(3.214m),10.529(26.322%)(0.057m),None,None
8,1,-4.9570,-4.1201,0.588,159,393,0.986,25,0.00,133,513.56,0,0,9.265(11.581%)(0.000m),13.064(13.064%)(0.000m),19.869(19.869%)(0.000m),48.357(48.357%)(3.038m),49.665(62.081%)(3.178m),11.875(29.688%)(0.201m),36.146(90.364%)(2.801m),None,None
9,1,-3.4132,-4.0415,0.643,91,222,0.984,15,0.00,143,308.68,0,0,8.922(11.153%)(0.000m),12.661(12.661%)(0.000m),19.420(19.420%)(0.000m),48.794(48.794%)(3.085m),77.067(96.334%)(6.114m),11.291(28.227%)(0.138m),40.000(100.000%)(3.214m),None,None
10,1,-1.7218,-3.8096,0.668,140,354,0.982,25,0.00,157,457.61,0,0,11.539(14.423%)(0.000m),20.915(20.915%)(0.098m),50.902(50.902%)(3.311m),100.000(100.000%)(8.571m),67.684(84.605%)(5.109m),10.206(25.516%)(0.022m),40.000(100.000%)(3.214m),None,None
11,1,-4.6604,-3.8869,0.456,66,158,0.980,15,0.00,164,215.66,0,0,78.639(98.299%)(6.283m),49.080(49.080%)(3.116m),20.166(20.166%)(0.018m),13.259(13.259%)(0.000m),9.404(11.755%)(0.000m),40.000(100.000%)(3.214m),12.053(30.132%)(0.220m),None,None
