episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,0.5826,0.5826,0.000,195,499,1.000,45,0.00,20,182.94,0,0,9.898(12.372%)(0.000m),15.536(15.536%)(0.000m),27.760(27.760%)(0.831m),100.000(100.000%)(8.571m),62.935(78.669%)(4.600m),10.522(26.305%)(0.056m),40.000(100.000%)(3.214m),None,None
2,1,-4.8195,-2.1185,0.000,85,207,0.998,25,0.00,29,74.19,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),29.634(29.634%)(1.032m),16.585(16.585%)(0.000m),10.566(13.207%)(0.000m),40.000(100.000%)(3.214m),11.232(28.081%)(0.132m),None,None
3,1,-4.9512,-3.0627,0.000,149,360,0.996,40,0.00,44,137.19,0,0,9.572(11.965%)(0.000m),13.583(13.583%)(0.000m),20.834(20.834%)(0.089m),52.347(52.347%)(3.466m),55.452(69.316%)(3.798m),12.113(30.283%)(0.226m),40.000(100.000%)(3.214m),None,None
4,1,-0.6479,-2.4590,0.000,190,501,0.994,50,0.00,63,176.11,0,0,69.035(86.294%)(5.254m),100.000(100.000%)(8.571m),34.086(34.086%)(1.509m),17.644(17.644%)(0.000m),10.770(13.462%)(0.000m),40.000(100.000%)(3.214m),10.770(26.925%)(0.082m),None,None
5,1,-1.5785,-2.2829,0.523,457,1139,0.992,70,0.00,109,711.30,0,0,10.996(13.745%)(0.000m),18.524(18.524%)(0.000m),37.864(37.864%)(1.914m),71.000(71.000%)(5.464m),49.000(61.250%)(3.107m),10.600(26.500%)(0.064m),40.000(100.000%)(3.214m),1887.436,3000.488
6,1,-6.2820,-2.9494,0.436,235,580,0.990,50,0.00,133,322.07,0,0,39.283(49.104%)(2.066m),73.062(73.062%)(5.685m),29.758(29.758%)(1.046m),16.654(16.654%)(0.000m),10.610(13.263%)(0.000m),28.486(71.216%)(1.981m),11.279(28.198%)(0.137m),None,None
7,1,-3.3307,-3.0039,0.289,285,756,0.988,60,0.00,162,477.20,0,0,24.321(30.401%)(0.463m),49.193(49.193%)(3.128m),27.919(27.919%)(0.848m),15.625(15.625%)(0.000m),9.954(12.443%)(0.000m),17.241(43.102%)(0.776m),10.582(26.456%)(0.062m),1303.884,1993.603
8,1,-3.6769,-3.0880,0.190,82,207,0.986,30,0.00,171,120.09,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),35.612(35.612%)(1.673m),17.771(17.771%)(0.000m),10.649(13.312%)(0.000m),40.000(100.000%)(3.214m),10.392(25.980%)(0.042m),None,None
9,1,-2.7141,-3.0465,0.150,256,616,0.984,50,0.00,197,371.67,0,0,72.457(90.572%)(5.620m),100.000(100.000%)(8.571m),32.468(32.468%)(1.336m),16.806(16.806%)(0.000m),10.258(12.823%)(0.000m),40.000(100.000%)(3.214m),10.258(25.646%)(0.028m),None,None
10,1,-4.9495,-3.2368,0.141,94,224,0.982,30,0.00,207,149.52,0,0,11.115(13.893%)(0.000m),19.292(19.292%)(0.000m),42.126(42.126%)(2.371m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.328(25.820%)(0.035m),40.000(100.000%)(3.214m),None,None
11,1,-3.7376,-3.2823,0.130,209,513,0.980,45,0.00,228,272.55,0,0,12.753(15.942%)(0.000m),26.779(26.779%)(0.726m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.823(24.558%)(0.000m),40.000(100.000%)(3.214m),None,None
12,1,-0.8618,-3.0806,0.135,217,631,0.978,55,0.00,250,279.51,0,0,24.000(30.000%)(0.429m),33.000(33.000%)(1.393m),54.000(54.000%)(3.643m),91.020(91.020%)(7.609m),44.026(55.032%)(2.574m),40.000(100.000%)(3.214m),31.709(79.272%)(2.326m),86.506,619.023
13,1,-2.6520,-3.0476,0.136,120,292,0.976,35,0.00,262,192.39,0,0,10.524(13.156%)(0.000m),17.242(17.242%)(0.000m),33.309(33.309%)(1.426m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.524(26.311%)(0.056m),40.000(100.000%)(3.214m),None,None
14,1,-3.0847,-3.0503,0.155,136,333,0.974,35,0.00,276,232.18,0,0,11.806(14.758%)(0.000m),22.455(22.455%)(0.263m),63.042(63.042%)(4.612m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.937(24.842%)(0.000m),40.000(100.000%)(3.214m),None,None
15,1,-3.8446,-3.1032,0.159,171,421,0.972,40,0.00,294,261.49,0,0,52.771(65.964%)(3.511m),35.601(35.601%)(1.672m),18.102(18.102%)(0.000m),12.717(12.717%)(0.000m),9.516(11.896%)(0.000m),38.682(96.705%)(3.073m),13.725(34.313%)(0.399m),None,None
16,1,0.2459,-2.8939,0.161,228,598,0.970,50,0.00,317,303.13,0,0,62.445(78.056%)(4.548m),93.386(93.386%)(7.863m),23.797(23.797%)(0.407m),14.190(14.190%)(0.000m),9.398(11.748%)(0.000m),40.000(100.000%)(3.214m),10.625(26.562%)(0.067m),None,None
17,1,-2.4272,-2.8665,0.165,132,332,0.968,35,0.00,331,181.63,0,0,12.336(15.420%)(0.000m),24.762(24.762%)(0.510m),84.893(84.893%)(6.953m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.873(24.682%)(0.000m),40.000(100.000%)(3.214m),None,None
18,1,-2.4308,-2.8422,0.181,208,517,0.967,45,0.00,352,280.38,0,0,60.230(75.288%)(4.310m),93.538(93.538%)(7.879m),23.836(23.836%)(0.411m),14.213(14.213%)(0.000m),9.414(11.767%)(0.000m),40.000(100.000%)(3.214m),10.642(26.605%)(0.069m),None,None
19,1,-1.6175,-2.7778,0.199,199,493,0.965,45,0.00,372,279.90,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),26.122(26.122%)(0.656m),12.635(15.793%)(0.000m),40.000(100.000%)(3.214m),9.858(24.644%)(0.000m),None,None
20,1,-3.2908,-2.8034,0.197,190,463,0.963,45,0.00,391,244.21,0,0,10.732(13.415%)(0.000m),17.582(17.582%)(0.000m),33.966(33.966%)(1.496m),100.000(100.000%)(8.571m),61.696(77.120%)(4.467m),10.732(26.830%)(0.078m),40.000(100.000%)(3.214m),None,None
21,1,-3.4456,-2.8340,0.201,77,197,0.961,25,0.00,399,111.76,0,0,78.639(98.299%)(6.283m),93.978(93.978%)(7.926m),23.948(23.948%)(0.423m),14.280(14.280%)(0.000m),9.458(11.822%)(0.000m),40.000(100.000%)(3.214m),10.692(26.731%)(0.074m),None,None
22,1,-0.8244,-2.7427,0.221,154,420,0.959,45,0.00,415,214.20,0,0,11.996(14.995%)(0.000m),23.421(23.421%)(0.366m),71.991(71.991%)(5.570m),100.000(100.000%)(8.571m),67.684(84.605%)(5.109m),9.847(24.617%)(0.000m),40.000(100.000%)(3.214m),None,None
23,1,-1.6483,-2.6951,0.246,104,268,0.957,30,0.00,426,158.57,0,0,11.034(13.792%)(0.000m),18.770(18.770%)(0.000m),39.173(39.173%)(2.054m),100.000(100.000%)(8.571m),67.666(84.582%)(5.107m),10.507(26.268%)(0.054m),40.000(100.000%)(3.214m),None,None
24,1,-4.0695,-2.7524,0.255,168,402,0.955,40,0.00,443,263.70,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),65.207(65.207%)(4.844m),24.440(24.440%)(0.476m),12.176(15.220%)(0.000m),40.000(100.000%)(3.214m),9.745(24.362%)(0.000m),None,None
25,1,-2.3764,-2.7373,0.217,135,346,0.953,40,0.00,457,196.44,0,0,65.960(82.450%)(4.924m),100.000(100.000%)(8.571m),33.989(33.989%)(1.499m),17.594(17.594%)(0.000m),10.739(13.424%)(0.000m),40.000(100.000%)(3.214m),10.739(26.848%)(0.079m),None,None
26,1,-2.6204,-2.7328,0.217,160,393,0.951,40,0.00,473,201.03,0,0,10.091(12.613%)(0.000m),15.236(15.236%)(0.000m),25.550(25.550%)(0.595m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),11.408(28.519%)(0.151m),40.000(100.000%)(3.214m),None,None
27,1,-2.2426,-2.7147,0.170,140,344,0.949,35,0.00,487,211.91,0,0,10.249(12.811%)(0.000m),16.791(16.791%)(0.000m),32.437(32.437%)(1.333m),100.000(100.000%)(8.571m),64.638(80.798%)(4.783m),10.249(25.622%)(0.027m),40.000(100.000%)(3.214m),None,None
28,1,-2.6570,-2.7126,0.179,282,763,0.947,60,0.00,516,441.24,0,0,10.352(12.940%)(0.000m),15.630(15.630%)(0.000m),26.212(26.212%)(0.666m),53.000(53.000%)(3.536m),45.000(56.250%)(2.679m),11.703(29.258%)(0.182m),40.000(100.000%)(3.214m),956.291,1298.450
29,1,0.9057,-2.5878,0.208,313,907,0.945,65,0.00,548,444.35,0,0,12.868(16.085%)(0.000m),27.743(27.743%)(0.830m),77.837(77.837%)(6.197m),57.000(57.000%)(3.964m),31.000(38.750%)(1.179m),9.659(24.147%)(0.000m),23.000(57.500%)(1.393m),1068.278,1104.677
30,1,-2.6115,-2.5886,0.216,108,284,0.944,35,0.00,559,169.87,0,0,10.246(12.807%)(0.000m),16.786(16.786%)(0.000m),32.428(32.428%)(1.332m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.246(25.615%)(0.026m),40.000(100.000%)(3.214m),None,None
31,1,-3.2209,-2.6090,0.199,441,1073,0.942,65,0.00,604,667.95,0,0,11.511(14.389%)(0.000m),20.631(20.631%)(0.068m),48.739(48.739%)(3.079m),80.000(80.000%)(6.429m),55.079(68.849%)(3.758m),10.308(25.771%)(0.033m),40.000(100.000%)(3.214m),2909.756,3681.669
32,1,-1.8807,-2.5863,0.181,284,738,0.940,60,0.00,633,402.88,0,0,69.098(86.372%)(5.260m),84.000(84.000%)(6.857m),59.935(59.935%)(4.279m),22.120(22.120%)(0.227m),11.630(14.538%)(0.000m),40.000(100.000%)(3.214m),9.789(24.472%)(0.000m),1623.636,1753.659
33,1,-3.5183,-2.6145,0.247,152,365,0.938,40,0.00,649,214.00,0,0,12.780(15.975%)(0.000m),26.948(26.948%)(0.744m),70.429(70.429%)(5.403m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.718(24.295%)(0.000m),40.000(100.000%)(3.214m),None,None
34,1,-3.3395,-2.6358,0.198,464,1168,0.936,70,0.00,696,660.54,0,0,14.485(18.106%)(0.000m),20.000(20.000%)(0.000m),19.000(19.000%)(0.000m),100.000(100.000%)(8.571m),57.415(71.768%)(4.009m),10.183(25.459%)(0.020m),40.000(100.000%)(3.214m),0.000,1115.850
35,1,-0.9046,-2.5864,0.151,137,360,0.934,40,0.00,710,159.06,0,0,11.399(14.249%)(0.000m),21.410(21.410%)(0.151m),57.759(57.759%)(4.046m),100.000(100.000%)(8.571m),67.642(84.553%)(5.105m),9.715(24.286%)(0.000m),40.000(100.000%)(3.214m),None,None
36,1,-1.6581,-2.5606,0.187,111,290,0.932,35,0.00,722,198.12,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),31.645(31.645%)(1.248m),16.662(16.662%)(0.000m),10.261(12.827%)(0.000m),40.000(100.000%)(3.214m),10.388(25.969%)(0.042m),None,None
37,1,2.7588,-2.4168,0.189,340,897,0.930,65,0.00,756,456.90,0,0,24.000(30.000%)(0.429m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),67.000(67.000%)(5.036m),61.313(76.642%)(4.426m),37.499(93.747%)(2.946m),40.000(100.000%)(3.214m),0.000,1205.960
38,1,-1.7821,-2.4001,0.188,198,488,0.929,45,0.00,776,259.92,0,0,71.530(89.412%)(5.521m),100.000(100.000%)(8.571m),51.589(51.589%)(3.385m),21.197(21.197%)(0.128m),11.694(14.618%)(0.000m),40.000(100.000%)(3.214m),10.344(25.861%)(0.037m),None,None
39,1,-4.5473,-2.4552,0.167,193,474,0.927,45,0.00,796,301.34,0,0,50.861(63.576%)(3.307m),93.095(93.095%)(7.832m),23.985(23.985%)(0.427m),14.302(14.302%)(0.000m),9.472(11.840%)(0.000m),37.209(93.023%)(2.915m),10.709(26.772%)(0.076m),None,None
40,1,-3.9542,-2.4926,0.162,148,355,0.925,40,0.00,811,200.33,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),62.902(62.902%)(4.597m),24.562(24.562%)(0.489m),12.237(15.296%)(0.000m),40.000(100.000%)(3.214m),9.793(24.484%)(0.000m),None,None
41,1,-6.9296,-2.6009,0.196,470,1202,0.923,70,0.00,858,660.44,0,0,26.000(32.500%)(0.643m),36.000(36.000%)(1.714m),43.000(43.000%)(2.464m),20.492(20.492%)(0.053m),11.305(14.132%)(0.000m),22.464(56.160%)(1.335m),10.000(25.000%)(0.000m),324.927,769.474
42,1,-3.4718,-2.6216,0.174,132,322,0.921,35,0.00,872,196.37,0,0,69.057(86.321%)(5.256m),100.000(100.000%)(8.571m),35.786(35.786%)(1.691m),17.858(17.858%)(0.000m),10.701(13.377%)(0.000m),40.000(100.000%)(3.214m),10.443(26.107%)(0.047m),None,None
43,1,-3.1615,-2.6342,0.140,84,208,0.919,25,0.00,881,128.06,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),25.743(25.743%)(0.615m),15.350(15.350%)(0.000m),10.167(12.708%)(0.000m),40.000(100.000%)(3.214m),11.493(28.734%)(0.160m),None,None
44,1,-2.7122,-2.6359,0.145,169,413,0.918,40,0.00,898,218.64,0,0,74.804(93.505%)(5.872m),100.000(100.000%)(8.571m),31.444(31.444%)(1.226m),16.556(16.556%)(0.000m),10.196(12.745%)(0.000m),40.000(100.000%)(3.214m),10.322(25.804%)(0.034m),None,None
