episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,1.4820,1.4820,0.000,241,637,1.000,55,0.00,25,223.12,0,0,65.878(82.348%)(4.916m),96.000(96.000%)(8.143m),51.420(51.420%)(3.366m),21.128(21.128%)(0.121m),11.656(14.570%)(0.000m),40.000(100.000%)(3.214m),10.310(25.776%)(0.033m),None,None
2,1,-1.9236,-0.2208,0.000,127,308,0.998,35,0.00,38,115.34,0,0,10.451(13.064%)(0.000m),16.680(16.680%)(0.000m),30.686(30.686%)(1.145m),100.000(100.000%)(8.571m),67.642(84.553%)(5.105m),10.842(27.105%)(0.090m),40.000(100.000%)(3.214m),None,None
3,1,-1.7006,-0.7141,0.000,157,389,0.996,40,0.00,54,141.24,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),49.828(49.828%)(3.196m),20.474(20.474%)(0.051m),11.295(14.119%)(0.000m),40.000(100.000%)(3.214m),9.991(24.978%)(0.000m),None,None
4,1,-3.2002,-1.3356,0.000,90,228,0.994,30,0.00,63,80.28,0,0,8.822(11.027%)(0.000m),12.438(12.438%)(0.000m),18.918(18.918%)(0.000m),46.042(46.042%)(2.790m),76.230(95.288%)(6.025m),11.307(28.267%)(0.140m),40.000(100.000%)(3.214m),None,None
5,1,-4.8664,-2.0418,0.694,118,285,0.992,35,0.00,75,171.82,0,0,9.866(12.332%)(0.000m),14.090(14.090%)(0.000m),21.801(21.801%)(0.193m),56.684(56.684%)(3.930m),77.067(96.334%)(6.114m),12.327(30.818%)(0.249m),40.000(100.000%)(3.214m),None,None
6,1,-4.6216,-2.4717,0.771,84,202,0.990,25,0.00,84,109.72,0,0,9.886(12.357%)(0.000m),14.504(14.504%)(0.000m),23.300(23.300%)(0.354m),71.621(71.621%)(5.531m),77.067(96.334%)(6.114m),11.745(29.363%)(0.187m),40.000(100.000%)(3.214m),None,None
7,1,-2.0643,-2.4135,0.716,145,354,0.988,40,0.00,99,203.99,0,0,68.998(86.247%)(5.250m),100.000(100.000%)(8.571m),61.547(61.547%)(4.451m),23.336(23.336%)(0.357m),12.113(15.141%)(0.000m),40.000(100.000%)(3.214m),10.068(25.170%)(0.007m),None,None
8,1,-3.5062,-2.5501,0.612,160,385,0.986,40,0.00,115,242.10,0,0,12.666(15.833%)(0.000m),26.187(26.187%)(0.663m),81.106(81.106%)(6.547m),100.000(100.000%)(8.571m),67.684(84.605%)(5.109m),9.882(24.706%)(0.000m),40.000(100.000%)(3.214m),None,None
9,1,-2.9144,-2.5906,0.512,118,286,0.984,35,0.00,127,151.80,0,0,9.541(11.927%)(0.000m),13.627(13.627%)(0.000m),21.084(21.084%)(0.116m),54.819(54.819%)(3.731m),76.230(95.288%)(6.025m),11.921(29.804%)(0.206m),40.000(100.000%)(3.214m),None,None
10,1,-3.4149,-2.6730,0.440,108,268,0.982,30,0.00,138,138.14,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),45.100(45.100%)(2.689m),19.630(19.630%)(0.000m),11.073(13.841%)(0.000m),40.000(100.000%)(3.214m),10.039(25.098%)(0.004m),None,None
11,1,-2.5778,-2.6644,0.324,97,245,0.980,30,0.00,148,154.39,0,0,11.193(13.992%)(0.000m),19.633(19.633%)(0.000m),43.939(43.939%)(2.565m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.274(25.685%)(0.029m),40.000(100.000%)(3.214m),None,None
12,1,-2.1645,-2.6227,0.244,105,263,0.978,30,0.00,159,165.17,0,0,77.786(97.233%)(6.191m),62.786(62.786%)(4.584m),21.415(21.415%)(0.152m),13.462(13.462%)(0.000m),9.239(11.549%)(0.000m),40.000(100.000%)(3.214m),11.115(27.789%)(0.120m),None,None
13,1,-8.7157,-3.0914,0.267,273,663,0.976,55,0.00,187,398.14,0,0,15.693(19.616%)(0.000m),32.887(32.887%)(1.381m),31.339(31.339%)(1.215m),17.035(17.035%)(0.000m),10.674(13.342%)(0.000m),11.047(27.617%)(0.112m),11.073(27.681%)(0.115m),None,None
14,1,-4.1588,-3.1676,0.269,74,180,0.974,25,0.00,195,118.66,0,0,10.596(13.245%)(0.000m),18.025(18.025%)(0.000m),37.618(37.618%)(1.888m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.090(25.225%)(0.010m),40.000(100.000%)(3.214m),None,None
