episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-7.7490,-7.7490,0.000,260,623,1.000,50,0.00,26,253.34,0,0,11.315(14.144%)(0.000m),20.511(20.511%)(0.055m),49.831(49.831%)(3.196m),61.022(61.022%)(4.395m),32.229(40.286%)(1.310m),10.009(25.023%)(0.001m),23.178(57.946%)(1.412m),None,None
2,1,-3.3540,-5.5515,0.000,138,348,0.998,40,0.00,40,128.33,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),34.703(34.703%)(1.575m),17.964(17.964%)(0.000m),10.965(13.706%)(0.000m),40.000(100.000%)(3.214m),10.965(27.412%)(0.103m),None,None
3,1,-4.5373,-5.2134,0.000,174,433,0.996,40,0.00,58,170.53,0,0,8.708(10.885%)(0.000m),10.981(10.981%)(0.000m),14.665(14.665%)(0.000m),24.594(24.594%)(0.492m),42.835(53.544%)(2.447m),14.665(36.663%)(0.500m),31.062(77.655%)(2.257m),None,None
4,1,-2.9608,-4.6503,0.540,215,578,0.994,50,0.00,80,279.75,0,0,9.774(12.217%)(0.000m),13.781(13.781%)(0.000m),20.960(20.960%)(0.103m),51.012(51.012%)(3.323m),47.781(59.726%)(2.976m),12.527(31.318%)(0.271m),34.681(86.703%)(2.644m),1920.627,2021.027
5,1,-4.1135,-4.5429,0.576,162,403,0.992,40,0.00,97,231.63,0,0,10.097(12.621%)(0.000m),15.024(15.024%)(0.000m),24.642(24.642%)(0.497m),84.482(84.482%)(6.909m),77.067(96.334%)(6.114m),11.701(29.252%)(0.182m),40.000(100.000%)(3.214m),None,None
6,1,-4.3467,-4.5102,0.534,247,623,0.990,55,0.00,122,334.98,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),37.732(37.732%)(1.900m),18.460(18.460%)(0.000m),10.958(13.697%)(0.000m),40.000(100.000%)(3.214m),10.563(26.408%)(0.060m),None,None
7,1,-3.4774,-4.3627,0.586,75,192,0.988,25,0.00,130,99.54,0,0,10.081(12.601%)(0.000m),14.689(14.689%)(0.000m),23.366(23.366%)(0.361m),68.506(68.506%)(5.197m),77.067(96.334%)(6.114m),12.128(30.320%)(0.228m),40.000(100.000%)(3.214m),None,None
8,1,-3.1920,-4.2163,0.620,88,215,0.986,30,0.00,139,128.27,0,0,10.101(12.627%)(0.000m),15.252(15.252%)(0.000m),25.577(25.577%)(0.598m),100.000(100.000%)(8.571m),67.684(84.605%)(5.109m),11.420(28.549%)(0.152m),40.000(100.000%)(3.214m),None,None
9,1,-1.3197,-3.8945,0.593,165,462,0.984,45,0.00,156,222.09,0,0,11.002(13.752%)(0.000m),18.902(18.902%)(0.000m),40.326(40.326%)(2.178m),98.000(98.000%)(8.357m),77.067(96.334%)(6.114m),10.349(25.872%)(0.037m),40.000(100.000%)(3.214m),None,None
10,1,-4.6108,-3.9661,0.679,151,368,0.982,40,0.00,172,205.24,0,0,9.070(11.338%)(0.000m),12.789(12.789%)(0.000m),19.451(19.451%)(0.000m),47.339(47.339%)(2.929m),51.981(64.976%)(3.427m),11.625(29.064%)(0.174m),38.134(95.335%)(3.014m),None,None
11,1,-4.6505,-4.0283,0.684,225,553,0.980,50,0.00,195,298.14,0,0,42.611(53.264%)(2.423m),83.395(83.395%)(6.792m),25.032(25.032%)(0.539m),14.926(14.926%)(0.000m),9.886(12.357%)(0.000m),30.879(77.197%)(2.237m),11.176(27.940%)(0.126m),None,None
12,1,-2.5755,-3.9073,0.649,89,234,0.978,30,0.00,204,117.88,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),32.066(32.066%)(1.293m),16.884(16.884%)(0.000m),10.398(12.998%)(0.000m),40.000(100.000%)(3.214m),10.526(26.315%)(0.056m),None,None
13,1,-0.3625,-3.6346,0.748,235,619,0.976,55,0.00,228,312.43,0,0,69.057(86.321%)(5.256m),86.000(86.000%)(7.071m),60.451(60.451%)(4.334m),22.720(22.720%)(0.291m),11.793(14.741%)(0.000m),40.000(100.000%)(3.214m),9.802(24.505%)(0.000m),None,None
14,1,-3.9710,-3.6586,0.608,69,167,0.974,25,0.00,235,108.19,0,0,9.993(12.491%)(0.000m),15.088(15.088%)(0.000m),25.302(25.302%)(0.568m),99.292(99.292%)(8.496m),77.067(96.334%)(6.114m),11.297(28.242%)(0.139m),40.000(100.000%)(3.214m),None,None
15,1,-1.0165,-3.4825,0.583,408,1098,0.972,70,0.00,276,550.85,0,0,42.000(52.500%)(2.357m),70.000(70.000%)(5.357m),82.000(82.000%)(6.643m),37.061(37.061%)(1.828m),17.508(21.885%)(0.000m),10.000(25.000%)(0.000m),12.319(30.798%)(0.248m),1100.561,1301.517
16,1,-3.4029,-3.4775,0.475,167,419,0.970,40,0.00,293,224.14,0,0,13.556(16.946%)(0.000m),29.430(29.430%)(1.010m),91.602(91.602%)(7.672m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.666(24.165%)(0.000m),40.000(100.000%)(3.214m),None,None
17,1,-4.7955,-3.5550,0.625,169,410,0.968,40,0.00,310,228.65,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),48.780(48.780%)(3.084m),20.648(20.648%)(0.069m),11.520(14.400%)(0.000m),40.000(100.000%)(3.214m),10.317(25.792%)(0.034m),None,None
18,1,-3.5689,-3.5558,0.511,82,202,0.967,25,0.00,319,117.79,0,0,77.786(97.233%)(6.191m),84.623(84.623%)(6.924m),24.683(24.683%)(0.502m),15.049(15.049%)(0.000m),10.114(12.642%)(0.000m),40.000(100.000%)(3.214m),11.720(29.301%)(0.184m),None,None
19,1,-4.2720,-3.5935,0.629,112,268,0.965,30,0.00,331,141.27,0,0,12.416(15.520%)(0.000m),24.923(24.923%)(0.527m),71.468(71.468%)(5.514m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.937(24.843%)(0.000m),40.000(100.000%)(3.214m),None,None
20,1,-4.0164,-3.6146,0.642,137,331,0.963,35,0.00,345,188.97,0,0,11.683(14.603%)(0.000m),21.176(21.176%)(0.126m),51.538(51.538%)(3.379m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.334(25.835%)(0.036m),40.000(100.000%)(3.214m),None,None
21,1,-3.7426,-3.6207,0.627,74,183,0.961,25,0.00,353,100.47,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),39.964(39.964%)(2.139m),19.149(19.149%)(0.000m),11.257(14.071%)(0.000m),40.000(100.000%)(3.214m),10.719(26.798%)(0.077m),None,None
22,1,0.3901,-3.4384,0.749,171,465,0.959,45,0.00,371,228.76,0,0,69.098(86.372%)(5.260m),86.799(86.799%)(7.157m),23.756(23.756%)(0.402m),14.326(14.326%)(0.000m),9.559(11.948%)(0.000m),40.000(100.000%)(3.214m),10.941(27.352%)(0.101m),None,None
23,1,-1.5254,-3.3553,0.697,229,565,0.957,50,0.00,394,309.20,0,0,56.789(70.986%)(3.942m),51.497(51.497%)(3.375m),20.496(20.496%)(0.053m),13.362(13.362%)(0.000m),9.417(11.771%)(0.000m),40.000(100.000%)(3.214m),11.917(29.791%)(0.205m),None,None
24,1,-3.5621,-3.3639,0.776,119,289,0.955,35,0.00,406,166.61,0,0,12.726(15.907%)(0.000m),26.309(26.309%)(0.676m),73.562(73.562%)(5.739m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),9.929(24.821%)(0.000m),40.000(100.000%)(3.214m),None,None
25,1,-3.0840,-3.3527,0.661,133,334,0.953,35,0.00,420,193.29,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),28.071(28.071%)(0.865m),16.138(16.138%)(0.000m),10.447(13.058%)(0.000m),40.000(100.000%)(3.214m),11.381(28.453%)(0.148m),None,None
26,1,-1.5786,-3.2844,0.842,146,361,0.951,40,0.00,435,211.01,0,0,69.098(86.372%)(5.260m),100.000(100.000%)(8.571m),27.738(27.738%)(0.829m),15.738(15.738%)(0.000m),10.107(12.634%)(0.000m),40.000(100.000%)(3.214m),10.878(27.194%)(0.094m),None,None
