episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-3.9986,-3.9986,0.000,195,492,1.000,45,0.00,20,187.54,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),39.875(39.875%)(2.129m),18.691(18.691%)(0.000m),10.879(13.598%)(0.000m),40.000(100.000%)(3.214m),10.233(25.583%)(0.025m),None,None
2,1,-3.9794,-3.9890,0.000,325,840,0.998,60,0.00,53,329.03,0,0,11.303(14.129%)(0.000m),19.421(19.421%)(0.000m),41.432(41.432%)(2.296m),57.000(57.000%)(3.964m),55.000(68.750%)(3.750m),10.633(26.581%)(0.068m),40.000(100.000%)(3.214m),1430.019,3100.635
3,1,-2.4863,-3.4881,0.451,161,398,0.996,40,0.00,70,222.68,0,0,77.786(97.233%)(6.191m),89.168(89.168%)(7.411m),24.404(24.404%)(0.472m),14.717(14.717%)(0.000m),9.819(12.274%)(0.000m),40.000(100.000%)(3.214m),11.239(28.098%)(0.133m),None,None
4,1,-4.9471,-3.8528,0.495,310,785,0.994,60,0.00,101,558.88,0,0,8.398(10.497%)(0.000m),10.589(10.589%)(0.000m),14.142(14.142%)(0.000m),23.716(23.716%)(0.398m),34.596(43.245%)(1.564m),14.142(35.354%)(0.444m),24.910(62.275%)(1.598m),2137.510,2408.438
5,1,-3.3161,-3.7455,0.609,447,1109,0.992,65,0.00,146,761.96,0,0,29.601(37.002%)(1.029m),57.606(57.606%)(4.029m),74.159(74.159%)(5.803m),28.625(28.625%)(0.924m),13.454(16.818%)(0.000m),21.128(52.821%)(1.192m),9.610(24.024%)(0.000m),2785.320,3844.001
6,1,-0.5657,-3.2155,0.581,293,725,0.990,55,0.00,176,530.53,0,0,68.642(85.802%)(5.212m),100.000(100.000%)(8.571m),57.146(57.146%)(3.980m),22.068(22.068%)(0.222m),11.749(14.686%)(0.000m),40.000(100.000%)(3.214m),10.013(25.032%)(0.001m),None,None
7,1,-2.4211,-3.1021,0.420,132,324,0.988,35,0.00,190,237.57,0,0,72.061(90.076%)(5.578m),100.000(100.000%)(8.571m),70.726(70.726%)(5.435m),24.960(24.960%)(0.531m),12.435(15.543%)(0.000m),40.000(100.000%)(3.214m),9.952(24.880%)(0.000m),None,None
8,1,1.9698,-2.4681,0.393,164,433,0.986,45,0.00,207,292.87,0,0,66.050(82.562%)(4.934m),97.457(97.457%)(8.299m),24.835(24.835%)(0.518m),14.809(14.809%)(0.000m),9.808(12.260%)(0.000m),40.000(100.000%)(3.214m),11.088(27.720%)(0.117m),None,None
9,1,-0.4410,-2.2428,0.385,148,365,0.984,40,0.00,222,233.71,0,0,72.137(90.172%)(5.586m),51.172(51.172%)(3.340m),19.681(19.681%)(0.000m),12.720(12.720%)(0.000m),8.906(11.133%)(0.000m),40.000(100.000%)(3.214m),11.128(27.821%)(0.121m),None,None
10,1,-3.2014,-2.3387,0.254,153,372,0.982,40,0.00,238,262.32,0,0,10.417(13.021%)(0.000m),16.624(16.624%)(0.000m),30.584(30.584%)(1.134m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.806(27.014%)(0.086m),40.000(100.000%)(3.214m),None,None
11,1,-1.4927,-2.2618,0.309,144,365,0.980,40,0.00,253,249.85,0,0,11.417(14.272%)(0.000m),19.818(19.818%)(0.000m),43.274(43.274%)(2.494m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.609(26.523%)(0.065m),40.000(100.000%)(3.214m),None,None
12,1,-2.8387,-2.3099,0.288,120,303,0.978,35,0.00,265,194.04,0,0,10.954(13.692%)(0.000m),17.946(17.946%)(0.000m),34.669(34.669%)(1.572m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.954(27.385%)(0.102m),40.000(100.000%)(3.214m),None,None
13,1,-3.2334,-2.3809,0.267,140,348,0.976,40,0.00,279,227.21,0,0,11.718(14.648%)(0.000m),21.241(21.241%)(0.133m),51.696(51.696%)(3.396m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.366(25.914%)(0.039m),40.000(100.000%)(3.214m),None,None
14,1,-5.4799,-2.6023,0.252,296,752,0.974,60,0.00,309,537.68,0,0,46.864(58.581%)(2.878m),86.000(86.000%)(7.071m),71.688(71.688%)(5.538m),26.030(26.030%)(0.646m),12.590(15.738%)(0.000m),34.130(85.325%)(2.585m),9.823(24.558%)(0.000m),None,None
15,1,-2.7543,-2.6124,0.283,129,325,0.972,35,0.00,322,246.56,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),68.866(68.866%)(5.236m),25.499(25.499%)(0.589m),12.520(15.650%)(0.000m),40.000(100.000%)(3.214m),9.894(24.735%)(0.000m),None,None
16,1,-4.4187,-2.7253,0.246,207,552,0.970,50,0.00,343,384.71,0,0,11.015(13.769%)(0.000m),18.557(18.557%)(0.000m),37.931(37.931%)(1.921m),71.040(71.040%)(5.469m),35.044(43.805%)(1.612m),10.619(26.547%)(0.066m),25.208(63.020%)(1.629m),None,None
17,1,-4.7041,-2.8417,0.386,100,242,0.968,30,0.00,353,184.29,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),50.991(50.991%)(3.320m),21.020(21.020%)(0.109m),11.596(14.495%)(0.000m),40.000(100.000%)(3.214m),10.258(25.644%)(0.028m),None,None
18,1,-3.2788,-2.8660,0.272,179,451,0.967,45,0.00,371,345.34,0,0,11.323(14.154%)(0.000m),20.295(20.295%)(0.032m),47.945(47.945%)(2.994m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.140(25.351%)(0.015m),40.000(100.000%)(3.214m),None,None
19,1,-2.0425,-2.8226,0.234,143,349,0.965,40,0.00,386,269.80,0,0,10.989(13.736%)(0.000m),19.274(19.274%)(0.000m),43.136(43.136%)(2.479m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.086(25.216%)(0.009m),40.000(100.000%)(3.214m),None,None
20,1,-4.0765,-2.8853,0.239,79,191,0.963,25,0.00,394,139.69,0,0,11.177(13.971%)(0.000m),20.260(20.260%)(0.028m),49.307(49.307%)(3.140m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.887(24.717%)(0.000m),40.000(100.000%)(3.214m),None,None
21,1,-3.1594,-2.8984,0.246,145,362,0.961,40,0.00,409,276.90,0,0,9.925(12.406%)(0.000m),14.985(14.985%)(0.000m),25.131(25.131%)(0.550m),98.618(98.618%)(8.423m),61.763(77.204%)(4.475m),11.220(28.050%)(0.131m),40.000(100.000%)(3.214m),None,None
22,1,-2.8847,-2.8978,0.253,254,629,0.959,50,0.00,435,526.48,0,0,9.933(12.416%)(0.000m),15.720(15.720%)(0.000m),28.493(28.493%)(0.910m),100.000(100.000%)(8.571m),67.666(84.582%)(5.107m),10.431(26.077%)(0.046m),40.000(100.000%)(3.214m),None,None
23,1,1.9466,-2.6871,0.228,245,610,0.957,50,0.00,460,472.18,0,0,9.139(11.423%)(0.000m),12.497(12.497%)(0.000m),18.285(18.285%)(0.000m),39.008(39.008%)(2.037m),64.013(80.016%)(4.716m),12.497(31.243%)(0.268m),40.000(100.000%)(3.214m),None,None
24,1,-6.1666,-2.8321,0.253,257,625,0.955,50,0.00,486,484.40,0,0,21.845(27.306%)(0.198m),43.835(43.835%)(2.554m),23.534(23.534%)(0.379m),14.501(14.501%)(0.000m),9.815(12.268%)(0.000m),15.501(38.753%)(0.589m),11.517(28.791%)(0.162m),None,None
25,1,-3.0470,-2.8407,0.223,145,355,0.953,40,0.00,501,291.76,0,0,10.821(13.526%)(0.000m),17.728(17.728%)(0.000m),34.248(34.248%)(1.527m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.821(27.052%)(0.088m),40.000(100.000%)(3.214m),None,None
26,1,-3.7157,-2.8744,0.221,121,296,0.951,35,0.00,514,207.14,0,0,11.708(14.635%)(0.000m),21.468(21.468%)(0.157m),53.743(53.743%)(3.615m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.229(25.572%)(0.025m),40.000(100.000%)(3.214m),None,None
27,1,-4.0617,-2.9183,0.243,118,287,0.949,35,0.00,526,189.51,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),33.640(33.640%)(1.461m),17.413(17.413%)(0.000m),10.629(13.286%)(0.000m),40.000(100.000%)(3.214m),10.629(26.572%)(0.067m),None,None
28,1,-0.0093,-2.8144,0.215,275,675,0.947,55,0.00,554,477.30,0,0,60.111(75.139%)(4.298m),100.000(100.000%)(8.571m),27.656(27.656%)(0.820m),15.478(15.478%)(0.000m),9.860(12.326%)(0.000m),40.000(100.000%)(3.214m),10.482(26.206%)(0.052m),None,None
29,1,-2.2110,-2.7936,0.230,142,360,0.945,40,0.00,569,269.18,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),32.284(32.284%)(1.316m),17.278(17.278%)(0.000m),10.734(13.417%)(0.000m),40.000(100.000%)(3.214m),10.999(27.498%)(0.107m),None,None
30,1,-1.6663,-2.7561,0.209,153,370,0.944,40,0.00,585,284.88,0,0,11.051(13.814%)(0.000m),19.384(19.384%)(0.000m),43.382(43.382%)(2.505m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.144(25.359%)(0.015m),40.000(100.000%)(3.214m),None,None
31,1,-1.1696,-2.7049,0.235,174,426,0.942,40,0.00,603,333.98,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),60.353(60.353%)(4.324m),22.966(22.966%)(0.318m),12.075(15.094%)(0.000m),40.000(100.000%)(3.214m),10.163(25.408%)(0.017m),None,None
32,1,-3.6707,-2.7351,0.222,83,204,0.940,25,0.00,612,148.58,0,0,78.639(98.299%)(6.283m),71.775(71.775%)(5.547m),22.170(22.170%)(0.232m),13.660(13.660%)(0.000m),9.246(11.557%)(0.000m),40.000(100.000%)(3.214m),10.849(27.122%)(0.091m),None,None
33,1,-5.5097,-2.8191,0.225,523,1288,0.938,70,0.00,665,960.51,0,0,10.849(13.561%)(0.000m),17.774(17.774%)(0.000m),34.336(34.336%)(1.536m),50.000(50.000%)(3.214m),39.000(48.750%)(2.036m),10.849(27.122%)(0.091m),34.078(85.194%)(2.580m),1916.674,2720.613
34,1,-2.3014,-2.8039,0.250,97,237,0.936,30,0.00,675,166.29,0,0,69.057(86.321%)(5.256m),76.943(76.943%)(6.101m),23.766(23.766%)(0.403m),14.643(14.643%)(0.000m),9.911(12.389%)(0.000m),40.000(100.000%)(3.214m),11.630(29.074%)(0.175m),None,None
35,1,-1.8492,-2.7766,0.242,187,470,0.934,45,0.00,694,300.94,0,0,62.917(78.646%)(4.598m),100.000(100.000%)(8.571m),33.909(33.909%)(1.490m),17.553(17.553%)(0.000m),10.714(13.392%)(0.000m),40.000(100.000%)(3.214m),10.714(26.785%)(0.076m),None,None
36,1,-3.4576,-2.7956,0.240,205,533,0.932,50,0.00,715,386.51,0,0,53.252(66.565%)(3.563m),100.000(100.000%)(8.571m),27.598(27.598%)(0.814m),15.445(15.445%)(0.000m),9.840(12.300%)(0.000m),38.715(96.789%)(3.077m),10.460(26.151%)(0.049m),None,None
37,1,-4.4381,-2.8399,0.255,108,263,0.930,30,0.00,726,173.39,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),35.129(35.129%)(1.621m),17.529(17.529%)(0.000m),10.505(13.131%)(0.000m),40.000(100.000%)(3.214m),10.251(25.628%)(0.027m),None,None
38,1,0.4530,-2.7533,0.272,137,350,0.929,40,0.00,740,224.31,0,0,9.777(12.222%)(0.000m),14.056(14.056%)(0.000m),21.944(21.944%)(0.208m),59.198(59.198%)(4.200m),67.642(84.553%)(5.105m),12.063(30.157%)(0.221m),40.000(100.000%)(3.214m),None,None
39,1,-1.2118,-2.7138,0.255,472,1195,0.927,70,0.00,788,809.28,0,0,25.000(31.250%)(0.536m),36.000(36.000%)(1.714m),36.846(36.846%)(1.805m),18.386(18.386%)(0.000m),11.018(13.773%)(0.000m),19.071(47.677%)(0.972m),10.752(26.880%)(0.081m),396.362,1864.999
40,1,-2.4651,-2.7075,0.306,130,324,0.925,35,0.00,801,224.36,0,0,11.171(13.964%)(0.000m),20.249(20.249%)(0.027m),49.281(49.281%)(3.137m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),9.881(24.704%)(0.000m),40.000(100.000%)(3.214m),None,None
41,1,-3.3946,-2.7243,0.297,510,1266,0.923,70,0.00,852,848.87,0,0,36.000(45.000%)(1.714m),46.000(46.000%)(2.786m),34.765(34.765%)(1.582m),17.996(17.996%)(0.000m),10.984(13.730%)(0.000m),40.000(100.000%)(3.214m),10.984(27.461%)(0.105m),806.623,2316.224
42,1,-2.6696,-2.7230,0.313,167,409,0.921,40,0.00,869,283.17,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),27.469(27.469%)(0.800m),15.792(15.792%)(0.000m),10.223(12.778%)(0.000m),40.000(100.000%)(3.214m),11.137(27.843%)(0.122m),None,None
43,1,-7.1432,-2.8258,0.293,242,599,0.919,50,0.00,894,422.75,0,0,9.159(11.449%)(0.000m),12.172(12.172%)(0.000m),17.214(17.214%)(0.000m),33.255(33.255%)(1.420m),36.728(45.910%)(1.792m),13.390(33.475%)(0.363m),26.528(66.319%)(1.771m),None,None
44,1,-2.9550,-2.8287,0.303,106,270,0.918,35,0.00,905,166.93,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),84.348(84.348%)(6.894m),28.975(28.975%)(0.962m),13.129(16.411%)(0.000m),40.000(100.000%)(3.214m),9.727(24.318%)(0.000m),None,None
45,1,-0.9576,-2.7872,0.283,220,640,0.916,55,0.00,927,362.52,0,0,43.262(54.077%)(2.492m),78.417(78.417%)(6.259m),100.000(100.000%)(8.571m),27.000(27.000%)(0.750m),23.000(28.750%)(0.321m),38.267(95.668%)(3.029m),28.458(71.146%)(1.978m),0.000,669.116
46,1,-1.5231,-2.7597,0.280,124,310,0.914,35,0.00,940,206.80,0,0,69.098(86.372%)(5.260m),100.000(100.000%)(8.571m),51.464(51.464%)(3.371m),21.146(21.146%)(0.123m),11.666(14.583%)(0.000m),40.000(100.000%)(3.214m),10.319(25.798%)(0.034m),None,None
