episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-3.3532,-3.3532,0.000,93,231,1.000,50,0.00,10,18.60,0,0,10.305(12.881%)(0.000m),15.558(15.558%)(0.000m),26.092(26.092%)(0.653m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),11.649(29.124%)(0.177m),40.000(100.000%)(3.214m),None,None
2,1,-6.0834,-4.7183,0.000,247,601,0.998,75,0.00,35,47.35,0,0,39.489(49.362%)(2.088m),48.774(48.774%)(3.083m),20.041(20.041%)(0.004m),13.176(13.176%)(0.000m),9.345(11.681%)(0.000m),28.643(71.606%)(1.997m),11.978(29.945%)(0.212m),None,None
3,1,-3.6103,-4.3490,0.404,415,1056,0.996,90,0.00,77,147.86,0,0,43.000(53.750%)(2.464m),50.000(50.000%)(3.214m),39.485(39.485%)(2.088m),18.508(18.508%)(0.000m),10.772(13.465%)(0.000m),37.160(92.901%)(2.910m),10.133(25.333%)(0.014m),862.628,1114.455
4,1,0.1111,-3.2340,0.425,217,555,0.994,75,0.00,99,137.86,0,0,11.517(14.397%)(0.000m),20.876(20.876%)(0.094m),50.808(50.808%)(3.301m),100.000(100.000%)(8.571m),70.688(88.360%)(5.431m),10.188(25.469%)(0.020m),40.000(100.000%)(3.214m),None,None
5,1,-6.9735,-3.9819,0.319,412,1004,0.992,85,0.00,141,266.76,0,0,32.770(40.962%)(1.368m),62.313(62.313%)(4.534m),31.360(31.360%)(1.217m),16.783(16.783%)(0.000m),10.427(13.033%)(0.000m),23.533(58.832%)(1.450m),10.685(26.711%)(0.073m),None,None
6,1,-0.4809,-3.3984,0.348,274,710,0.990,80,0.00,169,173.28,0,0,74.000(92.500%)(5.786m),84.000(84.000%)(6.857m),39.179(39.179%)(2.055m),18.773(18.773%)(0.000m),11.035(13.794%)(0.000m),40.000(100.000%)(3.214m),10.509(26.272%)(0.054m),None,None
7,1,-2.3890,-3.2542,0.287,152,382,0.988,65,0.00,185,96.53,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),46.866(46.866%)(2.878m),20.399(20.399%)(0.043m),11.507(14.383%)(0.000m),40.000(100.000%)(3.214m),10.432(26.081%)(0.046m),None,None
8,1,-4.0446,-3.3530,0.262,377,951,0.986,85,0.00,223,204.98,0,0,57.000(71.250%)(3.964m),77.000(77.000%)(6.107m),36.547(36.547%)(1.773m),17.880(17.880%)(0.000m),10.614(13.267%)(0.000m),40.000(100.000%)(3.214m),10.231(25.578%)(0.025m),1498.982,1846.002
9,1,-1.2436,-3.1186,0.191,122,305,0.984,55,0.00,236,78.24,0,0,10.929(13.661%)(0.000m),17.905(17.905%)(0.000m),34.590(34.590%)(1.563m),100.000(100.000%)(8.571m),67.642(84.553%)(5.105m),10.929(27.323%)(0.100m),40.000(100.000%)(3.214m),None,None
10,1,-1.6260,-2.9693,0.179,154,379,0.982,60,0.00,252,93.39,0,0,69.057(86.321%)(5.256m),100.000(100.000%)(8.571m),29.124(29.124%)(0.978m),16.069(16.069%)(0.000m),10.153(12.691%)(0.000m),40.000(100.000%)(3.214m),10.662(26.655%)(0.071m),None,None
