episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-6.9041,-6.9041,0.000,338,834,1.000,60,0.00,34,303.89,0,0,78.639(98.299%)(6.283m),93.000(93.000%)(7.821m),51.016(51.016%)(3.323m),20.962(20.962%)(0.103m),11.564(14.455%)(0.000m),40.000(100.000%)(3.214m),10.229(25.573%)(0.025m),None,None
2,1,-4.4694,-5.6867,0.000,88,213,0.998,30,0.00,43,77.29,0,0,9.831(12.288%)(0.000m),14.040(14.040%)(0.000m),21.724(21.724%)(0.185m),56.483(56.483%)(3.909m),77.067(96.334%)(6.114m),12.283(30.708%)(0.245m),40.000(100.000%)(3.214m),None,None
3,1,-1.8347,-4.4027,0.000,148,375,0.996,40,0.00,58,133.80,0,0,10.964(13.705%)(0.000m),18.296(18.296%)(0.000m),36.665(36.665%)(1.786m),100.000(100.000%)(8.571m),70.616(88.270%)(5.423m),10.699(26.748%)(0.075m),40.000(100.000%)(3.214m),None,None
4,1,0.8121,-3.0990,0.515,211,531,0.994,50,0.00,80,236.62,0,0,65.776(82.220%)(4.905m),100.000(100.000%)(8.571m),49.178(49.178%)(3.126m),20.817(20.817%)(0.088m),11.614(14.518%)(0.000m),40.000(100.000%)(3.214m),10.401(26.003%)(0.043m),None,None
5,1,-5.1340,-3.5060,0.639,324,785,0.992,60,0.00,113,401.45,0,0,10.049(12.562%)(0.000m),15.648(15.648%)(0.000m),27.579(27.579%)(0.812m),100.000(100.000%)(8.571m),76.181(95.227%)(6.019m),10.815(27.037%)(0.087m),40.000(100.000%)(3.214m),None,None
6,1,-2.9028,-3.4055,0.583,138,344,0.990,40,0.00,127,155.36,0,0,10.421(13.026%)(0.000m),17.390(17.390%)(0.000m),34.849(34.849%)(1.591m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.169(25.423%)(0.018m),40.000(100.000%)(3.214m),None,None
7,1,-0.0211,-2.9220,0.511,267,645,0.988,50,0.00,154,328.80,0,0,9.916(12.395%)(0.000m),14.972(14.972%)(0.000m),25.109(25.109%)(0.547m),98.534(98.534%)(8.414m),61.763(77.204%)(4.475m),11.211(28.026%)(0.130m),40.000(100.000%)(3.214m),None,None
8,1,-0.6851,-2.6424,0.455,154,393,0.986,40,0.00,170,188.59,0,0,9.003(11.254%)(0.000m),12.385(12.385%)(0.000m),18.254(18.254%)(0.000m),39.859(39.859%)(2.128m),73.454(91.818%)(5.727m),12.151(30.378%)(0.230m),40.000(100.000%)(3.214m),None,None
9,1,-4.8119,-2.8835,0.372,125,304,0.984,35,0.00,183,157.26,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),27.656(27.656%)(0.820m),15.478(15.478%)(0.000m),9.860(12.326%)(0.000m),40.000(100.000%)(3.214m),10.482(26.206%)(0.052m),None,None
10,1,-3.3861,-2.9337,0.356,100,250,0.982,30,0.00,193,119.24,0,0,11.317(14.147%)(0.000m),20.514(20.514%)(0.055m),49.926(49.926%)(3.206m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.011(25.027%)(0.001m),40.000(100.000%)(3.214m),None,None
11,1,-4.3566,-3.0631,0.274,95,231,0.980,30,0.00,203,113.39,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),41.539(41.539%)(2.308m),19.471(19.471%)(0.000m),11.332(14.166%)(0.000m),40.000(100.000%)(3.214m),10.660(26.650%)(0.071m),None,None
12,1,-3.5639,-3.1048,0.281,92,230,0.978,30,0.00,213,113.89,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),46.123(46.123%)(2.799m),20.076(20.076%)(0.008m),11.324(14.156%)(0.000m),40.000(100.000%)(3.214m),10.267(25.668%)(0.029m),None,None
13,1,-4.9385,-3.2459,0.220,108,261,0.976,30,0.00,224,130.50,0,0,11.289(14.111%)(0.000m),20.013(20.013%)(0.001m),45.979(45.979%)(2.784m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.235(25.588%)(0.025m),40.000(100.000%)(3.214m),None,None
14,1,-3.4497,-3.2604,0.333,171,418,0.974,40,0.00,242,201.56,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),34.819(34.819%)(1.588m),17.704(17.704%)(0.000m),10.708(13.386%)(0.000m),40.000(100.000%)(3.214m),10.578(26.446%)(0.062m),None,None
15,1,-1.2028,-3.1232,0.287,289,711,0.972,55,0.00,271,343.30,0,0,53.559(66.949%)(3.596m),100.000(100.000%)(8.571m),33.548(33.548%)(1.452m),17.058(17.058%)(0.000m),10.318(12.897%)(0.000m),38.951(97.377%)(3.102m),10.192(25.481%)(0.021m),None,None
16,1,-2.9104,-3.1099,0.209,190,474,0.970,45,0.00,290,224.75,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),34.562(34.562%)(1.560m),17.891(17.891%)(0.000m),10.920(13.650%)(0.000m),40.000(100.000%)(3.214m),10.920(27.301%)(0.099m),None,None
17,1,-1.0933,-2.9913,0.199,289,796,0.968,60,0.00,319,356.38,0,0,34.068(42.585%)(1.507m),63.921(63.921%)(4.706m),50.000(50.000%)(3.214m),22.000(22.000%)(0.214m),21.000(26.250%)(0.107m),24.517(61.292%)(1.555m),32.183(80.457%)(2.377m),527.811,773.551
18,1,-2.7385,-2.9773,0.206,137,346,0.967,40,0.00,333,156.34,0,0,11.275(14.094%)(0.000m),19.776(19.776%)(0.000m),44.259(44.259%)(2.599m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.349(25.872%)(0.037m),40.000(100.000%)(3.214m),None,None
19,1,-4.3688,-3.0505,0.188,88,212,0.965,30,0.00,342,108.82,0,0,11.396(14.245%)(0.000m),20.202(20.202%)(0.022m),46.414(46.414%)(2.830m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.332(25.830%)(0.036m),40.000(100.000%)(3.214m),None,None
20,1,-6.0208,-3.1990,0.166,273,677,0.963,55,0.00,370,331.95,0,0,44.820(56.025%)(2.659m),82.471(82.471%)(6.693m),24.676(24.676%)(0.501m),14.714(14.714%)(0.000m),9.745(12.182%)(0.000m),32.704(81.759%)(2.433m),11.017(27.543%)(0.109m),None,None
21,1,0.6611,-3.0152,0.177,218,537,0.961,50,0.00,392,253.69,0,0,69.098(86.372%)(5.260m),100.000(100.000%)(8.571m),55.642(55.642%)(3.819m),21.400(21.400%)(0.150m),11.533(14.417%)(0.000m),40.000(100.000%)(3.214m),9.952(24.880%)(0.000m),None,None
22,1,-3.7974,-3.0508,0.211,186,461,0.959,45,0.00,411,226.69,0,0,10.836(13.545%)(0.000m),18.809(18.809%)(0.000m),41.070(41.070%)(2.258m),100.000(100.000%)(8.571m),76.961(96.201%)(6.103m),10.069(25.173%)(0.007m),40.000(100.000%)(3.214m),None,None
