episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-4.1714,-4.1714,0.000,125,341,17,0,1.000,55,0.00,13,56.17,0,0,69.098(86.372%)(5.260m),100.000(100.000%)(8.571m),75.961(75.961%)(5.996m),28.784(28.784%)(0.941m),13.220(16.525%)(0.000m),40.000(100.000%)(3.214m),9.667(24.169%)(0.000m),2711.391,6958.862
2,1,-5.4662,-4.8188,0.000,106,261,18,0,0.998,45,0.00,24,46.19,0,0,10.363(12.954%)(0.000m),16.401(16.401%)(0.000m),29.727(29.727%)(1.042m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.883(27.207%)(0.095m),40.000(100.000%)(3.214m),6295.919,13171.426
3,1,-5.9125,-5.1834,0.000,91,225,20,0,0.996,40,0.00,34,41.05,0,0,10.275(12.844%)(0.000m),15.631(15.631%)(0.000m),26.523(26.523%)(0.699m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),11.474(28.685%)(0.158m),40.000(100.000%)(3.214m),5205.306,12073.983
4,1,-6.7770,-5.5818,0.000,129,314,17,0,0.994,50,0.00,47,56.08,0,0,78.639(98.299%)(6.283m),49.081(49.081%)(3.116m),19.534(19.534%)(0.000m),12.735(12.735%)(0.000m),8.975(11.219%)(0.000m),40.000(100.000%)(3.214m),11.357(28.393%)(0.145m),6636.837,12122.944
5,1,-4.6016,-5.3857,0.000,115,296,17,0,0.992,50,0.00,59,50.73,0,0,9.849(12.311%)(0.000m),15.459(15.459%)(0.000m),27.622(27.622%)(0.817m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.470(26.174%)(0.050m),40.000(100.000%)(3.214m),3983.578,9336.770
6,1,-5.1485,-5.3462,0.000,205,501,22,0,0.990,60,0.00,80,93.22,0,0,62.895(78.619%)(4.596m),92.000(92.000%)(7.714m),40.309(40.309%)(2.176m),18.894(18.894%)(0.000m),10.997(13.746%)(0.000m),40.000(100.000%)(3.214m),10.344(25.861%)(0.037m),4542.637,12061.447
7,1,-8.0150,-5.7275,0.000,114,272,18,0,0.988,45,0.00,92,49.31,0,0,11.447(14.309%)(0.000m),20.749(20.749%)(0.080m),50.499(50.499%)(3.268m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.126(25.314%)(0.013m),40.000(100.000%)(3.214m),11226.292,19006.534
8,1,-4.9945,-5.6358,0.000,121,310,14,0,0.986,50,0.00,105,55.12,0,0,10.794(13.492%)(0.000m),17.526(17.526%)(0.000m),33.286(33.286%)(1.423m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.926(27.316%)(0.099m),40.000(100.000%)(3.214m),3912.280,8835.862
9,1,-4.8109,-5.5442,0.000,118,291,18,0,0.984,50,0.00,117,50.90,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),56.711(56.711%)(3.933m),21.812(21.812%)(0.194m),11.755(14.694%)(0.000m),40.000(100.000%)(3.214m),10.143(25.358%)(0.015m),6361.709,13253.884
10,1,-8.2061,-5.8104,0.000,362,912,43,0,0.982,80,0.00,154,152.85,0,0,11.333(14.166%)(0.000m),20.091(20.091%)(0.010m),46.157(46.157%)(2.803m),47.000(47.000%)(2.893m),33.920(42.401%)(1.491m),10.275(25.687%)(0.029m),24.351(60.877%)(1.538m),2082.608,9132.691
11,1,-6.3982,-5.8638,0.000,335,837,68,36,0.980,75,0.00,188,248.18,0,0,24.000(30.000%)(0.429m),20.000(20.000%)(0.000m),21.000(21.000%)(0.107m),36.000(36.000%)(1.714m),55.790(69.738%)(3.835m),22.605(56.512%)(1.350m),40.000(100.000%)(3.214m),0.000,8269.310
