episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-3.9138,-3.9138,0.000,146,365,18,0,1.000,55,0.00,15,67.79,0,0,9.337(11.671%)(0.000m),13.165(13.165%)(0.000m),20.023(20.023%)(0.002m),48.731(48.731%)(3.078m),67.666(84.582%)(5.107m),11.967(29.918%)(0.211m),40.000(100.000%)(3.214m),3824.049,10100.149
2,1,-5.5175,-4.7157,0.000,104,259,20,0,0.998,45,0.00,26,46.65,0,0,78.639(98.299%)(6.283m),70.439(70.439%)(5.404m),22.916(22.916%)(0.312m),14.264(14.264%)(0.000m),9.722(12.153%)(0.000m),40.000(100.000%)(3.214m),11.551(28.878%)(0.166m),5102.701,11774.504
3,1,-4.3296,-4.5870,0.000,304,768,34,0,0.996,75,0.00,57,139.17,0,0,35.000(43.750%)(1.607m),42.000(42.000%)(2.357m),33.588(33.588%)(1.456m),17.387(17.387%)(0.000m),10.613(13.266%)(0.000m),40.000(100.000%)(3.214m),10.613(26.531%)(0.066m),1301.243,6535.855
4,1,-6.5361,-5.0743,0.000,89,214,16,0,0.994,40,0.00,66,39.25,0,0,10.193(12.742%)(0.000m),15.507(15.507%)(0.000m),26.312(26.312%)(0.676m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),11.382(28.456%)(0.148m),40.000(100.000%)(3.214m),8456.486,17022.151
5,1,-5.3221,-5.1238,0.000,96,231,23,0,0.992,40,0.00,76,42.53,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),30.736(30.736%)(1.150m),16.958(16.958%)(0.000m),10.715(13.394%)(0.000m),40.000(100.000%)(3.214m),11.252(28.130%)(0.134m),7997.261,14584.569
6,1,-3.6810,-4.8834,0.000,110,281,18,0,0.990,45,0.00,87,53.63,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),26.279(26.279%)(0.673m),15.670(15.670%)(0.000m),10.379(12.973%)(0.000m),40.000(100.000%)(3.214m),11.733(29.333%)(0.186m),3354.552,8621.342
7,1,-6.7262,-5.1466,0.000,181,445,26,0,0.988,60,0.00,106,81.28,0,0,78.639(98.299%)(6.283m),96.000(96.000%)(8.143m),94.250(94.250%)(7.955m),26.580(26.580%)(0.705m),12.704(15.880%)(0.000m),40.000(100.000%)(3.214m),9.785(24.464%)(0.000m),7483.142,13121.947
8,1,-8.6253,-5.5814,0.000,433,1062,51,54,0.986,80,0.00,150,204.73,0,0,25.981(32.477%)(0.641m),50.947(50.947%)(3.316m),44.000(44.000%)(2.571m),20.000(20.000%)(0.000m),17.000(21.250%)(0.000m),18.521(46.303%)(0.913m),29.059(72.647%)(2.042m),2636.089,9750.269
9,1,-5.9880,-5.6266,0.000,186,464,17,0,0.984,60,0.00,169,84.73,0,0,11.322(14.153%)(0.000m),19.653(19.653%)(0.000m),42.913(42.913%)(2.455m),85.000(85.000%)(6.964m),64.427(80.533%)(4.760m),10.521(26.302%)(0.056m),40.000(100.000%)(3.214m),4059.307,12467.721
10,1,-6.2610,-5.6900,0.000,138,334,17,0,0.982,50,0.00,183,62.31,0,0,75.050(93.813%)(5.898m),100.000(100.000%)(8.571m),33.759(33.759%)(1.474m),17.475(17.475%)(0.000m),10.666(13.333%)(0.000m),40.000(100.000%)(3.214m),10.666(26.666%)(0.071m),7584.766,14467.571
11,1,-6.8881,-5.7990,0.000,85,204,21,0,0.980,40,0.00,192,37.43,0,0,10.872(13.590%)(0.000m),18.680(18.680%)(0.000m),39.852(39.852%)(2.127m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.227(25.568%)(0.024m),40.000(100.000%)(3.214m),8624.864,17581.353
