episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-5.7215,-5.7215,0.000,213,516,77,0,1.000,60,0.00,22,177.83,0,0,69.100(86.375%)(5.261m),100.000(100.000%)(8.571m),79.390(79.390%)(6.363m),24.522(24.522%)(0.484m),12.390(15.487%)(0.000m),40.000(100.000%)(3.214m),10.042(25.106%)(0.005m),4604.804,16181.182
2,1,-4.5887,-5.1551,0.000,137,341,18,0,0.998,50,0.00,36,85.40,0,0,65.960(82.450%)(4.924m),99.000(99.000%)(8.464m),26.564(26.564%)(0.703m),15.271(15.271%)(0.000m),9.886(12.357%)(0.000m),40.000(100.000%)(3.214m),10.770(26.926%)(0.083m),4086.090,10884.577
3,1,-5.0340,-5.1147,0.000,120,293,17,0,0.996,50,0.00,48,61.58,0,0,9.293(11.616%)(0.000m),13.103(13.103%)(0.000m),19.929(19.929%)(0.000m),48.502(48.502%)(3.054m),76.230(95.288%)(6.025m),11.911(29.777%)(0.205m),40.000(100.000%)(3.214m),5647.733,12528.543
4,1,-7.1770,-5.6303,0.000,175,440,19,0,0.994,60,0.00,66,99.01,0,0,9.894(12.367%)(0.000m),14.416(14.416%)(0.000m),22.933(22.933%)(0.314m),67.235(67.235%)(5.061m),52.370(65.463%)(3.468m),11.903(29.758%)(0.204m),38.453(96.132%)(3.049m),2731.567,9064.395
5,1,-5.6211,-5.6284,0.000,104,254,22,0,0.992,45,0.00,77,46.64,0,0,10.339(12.924%)(0.000m),16.099(16.099%)(0.000m),28.374(28.374%)(0.897m),100.000(100.000%)(8.571m),64.546(80.683%)(4.773m),11.127(27.817%)(0.121m),40.000(100.000%)(3.214m),6627.829,11806.731
6,1,-7.3608,-5.9172,0.000,142,345,18,0,0.990,50,0.00,92,63.36,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),35.171(35.171%)(1.625m),17.550(17.550%)(0.000m),10.517(13.147%)(0.000m),40.000(100.000%)(3.214m),10.263(25.658%)(0.028m),6636.837,14184.439
7,1,-6.8656,-6.0527,0.000,111,267,27,0,0.988,45,0.00,104,196.09,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),47.422(47.422%)(2.938m),20.074(20.074%)(0.008m),11.200(14.000%)(0.000m),40.000(100.000%)(3.214m),10.030(25.075%)(0.003m),11482.448,18574.531
8,1,-4.9784,-5.9184,0.000,82,219,15,0,0.986,40,0.00,113,69.93,0,0,77.786(97.233%)(6.191m),84.214(84.214%)(6.880m),24.563(24.563%)(0.489m),14.976(14.976%)(0.000m),10.065(12.581%)(0.000m),40.000(100.000%)(3.214m),11.664(29.159%)(0.178m),3668.971,7750.247
9,1,-5.8232,-5.9078,0.000,63,154,19,0,0.984,35,0.00,120,51.47,0,0,78.639(98.299%)(6.283m),43.642(43.642%)(2.533m),19.500(19.500%)(0.000m),13.131(13.131%)(0.000m),9.488(11.860%)(0.000m),40.000(100.000%)(3.214m),12.640(31.600%)(0.283m),6740.920,14742.331
10,1,-5.5276,-5.8698,0.000,156,398,19,0,0.982,55,0.00,136,148.14,0,0,9.547(11.933%)(0.000m),14.414(14.414%)(0.000m),24.173(24.173%)(0.447m),87.000(87.000%)(7.179m),77.067(96.334%)(6.114m),10.793(26.981%)(0.085m),40.000(100.000%)(3.214m),3077.261,7502.652
