episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-3.5207,-3.5207,0.000,91,227,1.000,30,0.00,10,80.78,0,0,77.786(97.233%)(6.191m),90.253(90.253%)(7.527m),24.701(24.701%)(0.504m),14.896(14.896%)(0.000m),9.939(12.424%)(0.000m),40.000(100.000%)(3.214m),11.376(28.440%)(0.147m),None,None
2,1,-2.3780,-2.9494,0.000,173,426,0.998,40,0.00,28,156.11,0,0,13.069(16.336%)(0.000m),27.767(27.767%)(0.832m),84.819(84.819%)(6.945m),100.000(100.000%)(8.571m),61.715(77.144%)(4.469m),9.809(24.524%)(0.000m),40.000(100.000%)(3.214m),None,None
3,1,-3.9057,-3.2681,0.776,79,192,0.996,25,0.00,36,92.20,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),32.406(32.406%)(1.329m),17.063(17.063%)(0.000m),10.508(13.135%)(0.000m),40.000(100.000%)(3.214m),10.637(26.593%)(0.068m),None,None
4,1,-3.9571,-3.4404,0.936,109,265,0.994,30,0.00,47,173.86,0,0,12.580(15.725%)(0.000m),25.622(25.622%)(0.602m),65.203(65.203%)(4.843m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.941(24.853%)(0.000m),40.000(100.000%)(3.214m),None,None
5,1,5.3837,-1.6756,1.010,306,761,0.992,60,0.00,78,482.39,0,0,69.011(86.263%)(5.251m),100.000(100.000%)(8.571m),64.381(64.381%)(4.755m),22.932(22.932%)(0.314m),12.057(15.071%)(0.000m),40.000(100.000%)(3.214m),10.148(25.370%)(0.016m),None,None
6,1,-3.8070,-2.0308,1.130,111,278,0.990,35,0.00,90,146.96,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),54.357(54.357%)(3.681m),21.691(21.691%)(0.181m),11.829(14.786%)(0.000m),40.000(100.000%)(3.214m),10.335(25.837%)(0.036m),None,None
7,1,-2.6356,-2.1172,1.004,185,446,0.988,45,0.00,109,309.23,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),41.409(41.409%)(2.294m),19.410(19.410%)(0.000m),11.297(14.121%)(0.000m),40.000(100.000%)(3.214m),10.627(26.567%)(0.067m),None,None
8,1,-1.7120,-2.0665,0.813,389,1008,0.986,65,0.00,148,639.12,0,0,32.388(40.485%)(1.327m),67.026(67.026%)(5.039m),35.000(35.000%)(1.607m),18.000(18.000%)(0.000m),24.000(30.000%)(0.429m),23.156(57.890%)(1.410m),40.000(100.000%)(3.214m),1405.205,1602.033
9,1,-3.5274,-2.2289,0.945,108,275,0.984,35,0.00,159,166.39,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),25.581(25.581%)(0.598m),14.893(14.893%)(0.000m),9.716(12.145%)(0.000m),40.000(100.000%)(3.214m),10.717(26.791%)(0.077m),None,None
10,1,-4.1042,-2.4164,0.593,281,687,0.982,55,0.00,188,471.49,0,0,47.957(59.946%)(2.995m),48.307(48.307%)(3.033m),20.448(20.448%)(0.048m),13.555(13.555%)(0.000m),9.674(12.093%)(0.000m),35.077(87.693%)(2.687m),12.560(31.400%)(0.274m),None,None
11,1,-4.8679,-2.6393,0.398,189,478,0.980,45,0.00,207,319.47,0,0,9.081(11.351%)(0.000m),12.067(12.067%)(0.000m),17.066(17.066%)(0.000m),32.969(32.969%)(1.389m),46.910(58.638%)(2.883m),13.275(33.187%)(0.351m),34.061(85.151%)(2.578m),None,None
12,1,-0.9605,-2.4994,0.428,110,304,0.978,35,0.00,218,187.61,0,0,9.208(11.510%)(0.000m),12.983(12.983%)(0.000m),19.746(19.746%)(0.000m),48.057(48.057%)(3.006m),67.642(84.553%)(5.105m),11.802(29.504%)(0.193m),40.000(100.000%)(3.214m),None,None
13,1,-2.4106,-2.4925,0.617,123,307,0.976,35,0.00,231,164.12,0,0,10.555(13.194%)(0.000m),17.292(17.292%)(0.000m),33.406(33.406%)(1.436m),100.000(100.000%)(8.571m),70.616(88.270%)(5.423m),10.555(26.388%)(0.059m),40.000(100.000%)(3.214m),None,None
14,1,-3.8083,-2.5865,0.447,92,223,0.974,30,0.00,241,124.43,0,0,9.896(12.370%)(0.000m),15.170(15.170%)(0.000m),26.055(26.055%)(0.649m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.915(27.288%)(0.098m),40.000(100.000%)(3.214m),None,None
15,1,0.0165,-2.4130,0.401,160,395,0.972,40,0.00,257,256.30,0,0,9.870(12.338%)(0.000m),14.903(14.903%)(0.000m),24.992(24.992%)(0.535m),98.076(98.076%)(8.365m),76.230(95.288%)(6.025m),11.158(27.896%)(0.124m),40.000(100.000%)(3.214m),None,None
16,1,-4.5569,-2.5470,0.433,116,278,0.970,35,0.00,269,199.79,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),26.960(26.960%)(0.746m),15.296(15.296%)(0.000m),9.824(12.280%)(0.000m),40.000(100.000%)(3.214m),10.572(26.431%)(0.061m),None,None
17,1,-5.6724,-2.7308,0.307,239,578,0.968,50,0.00,293,410.40,0,0,11.051(13.814%)(0.000m),18.270(18.270%)(0.000m),35.932(35.932%)(1.707m),100.000(100.000%)(8.571m),55.268(69.085%)(3.779m),10.917(27.292%)(0.098m),40.000(100.000%)(3.214m),None,None
18,1,-0.2631,-2.5937,0.322,151,390,0.967,40,0.00,309,224.14,0,0,9.318(11.648%)(0.000m),14.069(14.069%)(0.000m),23.594(23.594%)(0.385m),92.590(92.590%)(7.777m),64.757(80.946%)(4.795m),10.534(26.336%)(0.057m),40.000(100.000%)(3.214m),None,None
19,1,-3.6903,-2.6514,0.214,240,583,0.965,50,0.00,333,371.15,0,0,12.634(15.793%)(0.000m),26.120(26.120%)(0.656m),93.482(93.482%)(7.873m),100.000(100.000%)(8.571m),64.053(80.066%)(4.720m),9.857(24.643%)(0.000m),40.000(100.000%)(3.214m),None,None
20,1,-3.0841,-2.6731,0.214,90,223,0.963,30,0.00,342,149.35,0,0,11.491(14.363%)(0.000m),20.828(20.828%)(0.089m),50.691(50.691%)(3.288m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.164(25.410%)(0.018m),40.000(100.000%)(3.214m),None,None
21,1,-4.6917,-2.7692,0.228,137,327,0.961,35,0.00,356,227.06,0,0,9.904(12.380%)(0.000m),15.300(15.300%)(0.000m),26.614(26.614%)(0.709m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.790(26.976%)(0.085m),40.000(100.000%)(3.214m),None,None
22,1,-1.7488,-2.7228,0.229,455,1147,0.959,70,0.00,402,642.26,0,0,45.000(56.250%)(2.679m),76.000(76.000%)(6.000m),68.713(68.713%)(5.219m),23.437(23.437%)(0.368m),12.165(15.206%)(0.000m),40.000(100.000%)(3.214m),10.111(25.278%)(0.012m),None,None
23,1,-2.4528,-2.7111,0.181,103,250,0.957,30,0.00,413,154.82,0,0,10.370(12.962%)(0.000m),16.549(16.549%)(0.000m),30.446(30.446%)(1.119m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.757(26.892%)(0.081m),40.000(100.000%)(3.214m),None,None
24,1,-3.3851,-2.7392,0.162,96,236,0.955,30,0.00,423,150.44,0,0,11.385(14.232%)(0.000m),20.637(20.637%)(0.068m),50.226(50.226%)(3.238m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.071(25.177%)(0.008m),40.000(100.000%)(3.214m),None,None
25,1,-4.2810,-2.8008,0.173,163,396,0.953,40,0.00,440,263.98,0,0,74.956(93.695%)(5.888m),100.000(100.000%)(8.571m),37.170(37.170%)(1.840m),18.185(18.185%)(0.000m),10.794(13.493%)(0.000m),40.000(100.000%)(3.214m),10.406(26.014%)(0.043m),None,None
26,1,-1.4619,-2.7493,0.185,158,386,0.951,40,0.00,456,271.10,0,0,75.065(93.831%)(5.900m),100.000(100.000%)(8.571m),46.824(46.824%)(2.874m),20.381(20.381%)(0.041m),11.496(14.371%)(0.000m),40.000(100.000%)(3.214m),10.423(26.058%)(0.045m),None,None
27,1,-4.2434,-2.8047,0.170,99,243,0.949,30,0.00,466,143.43,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),50.311(50.311%)(3.248m),20.672(20.672%)(0.072m),11.405(14.256%)(0.000m),40.000(100.000%)(3.214m),10.088(25.220%)(0.009m),None,None
28,1,-2.0942,-2.7793,0.235,236,582,0.947,50,0.00,490,377.17,0,0,69.057(86.321%)(5.256m),100.000(100.000%)(8.571m),34.472(34.472%)(1.551m),17.844(17.844%)(0.000m),10.892(13.615%)(0.000m),40.000(100.000%)(3.214m),10.892(27.230%)(0.096m),None,None
29,1,-0.5029,-2.7008,0.225,171,431,0.945,45,0.00,508,273.05,0,0,69.022(86.277%)(5.252m),100.000(100.000%)(8.571m),48.717(48.717%)(3.077m),20.622(20.622%)(0.067m),11.506(14.382%)(0.000m),40.000(100.000%)(3.214m),10.304(25.759%)(0.033m),None,None
30,1,-5.1402,-2.7821,0.278,96,230,0.944,30,0.00,518,160.89,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),33.203(33.203%)(1.415m),17.187(17.187%)(0.000m),10.491(13.113%)(0.000m),40.000(100.000%)(3.214m),10.491(26.227%)(0.053m),None,None
31,1,-2.4725,-2.7721,0.224,121,307,0.942,35,0.00,531,209.18,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),35.859(35.859%)(1.699m),18.233(18.233%)(0.000m),11.028(13.785%)(0.000m),40.000(100.000%)(3.214m),10.894(27.236%)(0.096m),None,None
32,1,-2.5879,-2.7664,0.263,430,1118,0.940,70,0.00,574,620.96,0,0,11.541(14.427%)(0.000m),20.920(20.920%)(0.099m),50.914(50.914%)(3.312m),32.000(32.000%)(1.286m),28.000(35.000%)(0.857m),10.209(25.522%)(0.022m),31.000(77.500%)(2.250m),715.674,1319.785
33,1,-0.2323,-2.6896,0.226,212,511,0.938,45,0.00,596,351.20,0,0,9.623(12.028%)(0.000m),14.319(14.319%)(0.000m),23.485(23.485%)(0.373m),80.516(80.516%)(6.484m),67.607(84.508%)(5.101m),11.152(27.879%)(0.123m),40.000(100.000%)(3.214m),None,None
34,1,-3.1050,-2.7018,0.215,98,246,0.936,30,0.00,606,128.02,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),65.398(65.398%)(4.864m),24.735(24.735%)(0.507m),12.323(15.404%)(0.000m),40.000(100.000%)(3.214m),9.862(24.656%)(0.000m),None,None
