episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-4.9931,-4.9931,0.000,83,203,1.000,25,0.00,9,73.96,0,0,10.242(12.803%)(0.000m),15.822(15.822%)(0.000m),27.522(27.522%)(0.806m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),11.159(27.897%)(0.124m),40.000(100.000%)(3.214m),None,None
2,1,-1.0481,-3.0206,0.000,137,333,0.998,35,0.00,23,124.80,0,0,66.167(82.709%)(4.946m),93.866(93.866%)(7.914m),23.920(23.920%)(0.420m),14.263(14.263%)(0.000m),9.447(11.808%)(0.000m),40.000(100.000%)(3.214m),10.680(26.699%)(0.073m),None,None
3,1,-4.3736,-3.4716,0.000,66,158,0.996,25,0.00,30,56.88,0,0,78.639(98.299%)(6.283m),48.502(48.502%)(3.054m),19.929(19.929%)(0.000m),13.103(13.103%)(0.000m),9.293(11.616%)(0.000m),40.000(100.000%)(3.214m),11.911(29.777%)(0.205m),None,None
4,1,-3.1384,-3.3883,0.000,162,431,0.994,45,0.00,47,153.01,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),45.998(45.998%)(2.786m),20.022(20.022%)(0.002m),11.294(14.117%)(0.000m),40.000(100.000%)(3.214m),10.239(25.598%)(0.026m),None,None
5,1,-4.0707,-3.5248,0.000,63,154,0.992,25,0.00,54,53.26,0,0,78.639(98.299%)(6.283m),42.590(42.590%)(2.420m),19.030(19.030%)(0.000m),12.814(12.814%)(0.000m),9.259(11.574%)(0.000m),40.000(100.000%)(3.214m),12.335(30.839%)(0.250m),None,None
6,1,-1.8674,-3.2486,0.000,104,273,0.990,35,0.00,65,97.95,0,0,10.400(13.000%)(0.000m),16.459(16.459%)(0.000m),29.832(29.832%)(1.053m),100.000(100.000%)(8.571m),67.584(84.480%)(5.098m),10.921(27.303%)(0.099m),40.000(100.000%)(3.214m),None,None
7,1,-4.6128,-3.4434,0.000,67,162,0.988,25,0.00,72,56.84,0,0,78.639(98.299%)(6.283m),35.129(35.129%)(1.621m),17.187(17.187%)(0.000m),11.913(11.913%)(0.000m),8.814(11.017%)(0.000m),40.000(100.000%)(3.214m),12.376(30.940%)(0.255m),None,None
8,1,-2.9803,-3.3855,0.000,135,335,0.986,35,0.00,86,120.58,0,0,12.700(15.875%)(0.000m),26.256(26.256%)(0.670m),77.929(77.929%)(6.207m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.909(24.771%)(0.000m),40.000(100.000%)(3.214m),None,None
9,1,-4.6876,-3.5302,0.000,133,320,0.984,35,0.00,100,115.21,0,0,11.540(14.425%)(0.000m),20.917(20.917%)(0.098m),50.908(50.908%)(3.312m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.208(25.519%)(0.022m),40.000(100.000%)(3.214m),None,None
10,1,-2.7109,-3.4483,0.000,169,423,0.982,40,0.00,117,156.66,0,0,59.304(74.130%)(4.211m),49.212(49.212%)(3.130m),19.586(19.586%)(0.000m),12.769(12.769%)(0.000m),8.999(11.249%)(0.000m),40.000(100.000%)(3.214m),11.388(28.469%)(0.149m),None,None
11,1,-3.4944,-3.4525,0.000,81,197,0.980,25,0.00,126,69.84,0,0,78.639(98.299%)(6.283m),50.743(50.743%)(3.294m),20.849(20.849%)(0.091m),13.708(13.708%)(0.000m),9.722(12.153%)(0.000m),40.000(100.000%)(3.214m),12.461(31.153%)(0.264m),None,None
12,1,-0.3392,-3.1930,0.000,175,439,0.978,45,0.00,144,161.14,0,0,66.078(82.597%)(4.937m),100.000(100.000%)(8.571m),68.570(68.570%)(5.204m),23.388(23.388%)(0.363m),12.140(15.174%)(0.000m),40.000(100.000%)(3.214m),10.090(25.226%)(0.010m),None,None
13,1,0.5081,-2.9083,0.000,164,465,0.976,45,0.00,161,150.00,0,0,11.619(14.524%)(0.000m),21.061(21.061%)(0.114m),51.258(51.258%)(3.349m),100.000(100.000%)(8.571m),73.513(91.891%)(5.734m),10.278(25.695%)(0.030m),40.000(100.000%)(3.214m),None,None
14,1,-0.4901,-2.7356,0.000,292,724,0.974,55,0.00,191,275.69,0,0,57.225(71.531%)(3.988m),100.000(100.000%)(8.571m),55.577(55.577%)(3.812m),21.658(21.658%)(0.178m),11.672(14.590%)(0.000m),40.000(100.000%)(3.214m),10.072(25.180%)(0.008m),None,None
15,1,-4.8802,-2.8786,0.000,248,626,0.972,50,0.00,216,223.95,0,0,44.488(55.610%)(2.624m),79.947(79.947%)(6.423m),32.970(32.970%)(1.390m),17.066(17.066%)(0.000m),10.417(13.021%)(0.000m),32.328(80.820%)(2.392m),10.417(26.043%)(0.045m),None,None
16,1,-0.9715,-2.7594,0.000,409,1048,0.970,65,0.00,257,384.06,0,0,42.615(53.269%)(2.423m),19.000(19.000%)(0.000m),19.000(19.000%)(0.000m),21.000(21.000%)(0.107m),63.081(78.851%)(4.616m),30.836(77.091%)(2.232m),40.000(100.000%)(3.214m),0.000,223.251
17,1,-3.0648,-2.7774,0.000,124,309,0.968,35,0.00,270,109.52,0,0,11.181(13.976%)(0.000m),19.407(19.407%)(0.000m),42.377(42.377%)(2.397m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.389(25.973%)(0.042m),40.000(100.000%)(3.214m),None,None
18,1,-1.2229,-2.6910,0.000,149,365,0.967,40,0.00,285,143.30,0,0,9.494(11.868%)(0.000m),14.230(14.230%)(0.000m),23.596(23.596%)(0.385m),86.217(86.217%)(7.095m),64.639(80.798%)(4.783m),10.867(27.168%)(0.093m),40.000(100.000%)(3.214m),None,None
19,1,-3.4709,-2.7320,0.000,104,266,0.965,30,0.00,296,89.94,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),69.091(69.091%)(5.260m),23.414(23.414%)(0.366m),11.993(14.991%)(0.000m),40.000(100.000%)(3.214m),9.844(24.610%)(0.000m),None,None
20,1,-1.3424,-2.6626,0.000,174,435,0.963,45,0.00,314,157.72,0,0,74.983(93.729%)(5.891m),100.000(100.000%)(8.571m),39.588(39.588%)(2.099m),18.969(18.969%)(0.000m),11.151(13.938%)(0.000m),40.000(100.000%)(3.214m),10.618(26.546%)(0.066m),None,None
21,1,-0.1084,-2.5409,0.000,228,564,0.961,50,0.00,337,198.39,0,0,12.750(15.937%)(0.000m),27.204(27.204%)(0.772m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),9.695(24.238%)(0.000m),40.000(100.000%)(3.214m),None,None
22,1,-2.6589,-2.5463,0.000,108,263,0.959,30,0.00,348,97.00,0,0,8.431(10.538%)(0.000m),11.330(11.330%)(0.000m),16.235(16.235%)(0.000m),32.534(32.534%)(1.343m),67.684(84.605%)(5.109m),11.997(29.992%)(0.214m),40.000(100.000%)(3.214m),None,None
23,1,-2.3799,-2.5391,0.000,151,384,0.957,40,0.00,364,123.80,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),83.541(83.541%)(6.808m),26.471(26.471%)(0.693m),12.628(15.785%)(0.000m),40.000(100.000%)(3.214m),9.727(24.317%)(0.000m),None,None
24,1,-4.4089,-2.6170,0.000,83,206,0.955,25,0.00,373,70.98,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),57.297(57.297%)(3.996m),22.190(22.190%)(0.235m),11.814(14.767%)(0.000m),40.000(100.000%)(3.214m),10.068(25.170%)(0.007m),None,None
25,1,-3.6601,-2.6587,0.000,86,212,0.953,30,0.00,382,75.06,0,0,9.734(12.168%)(0.000m),14.697(14.697%)(0.000m),24.648(24.648%)(0.498m),96.725(96.725%)(8.221m),77.067(96.334%)(6.114m),11.005(27.512%)(0.108m),40.000(100.000%)(3.214m),None,None
26,1,-1.3511,-2.6084,0.000,361,894,0.951,60,0.00,419,336.64,0,0,63.646(79.558%)(4.676m),90.000(90.000%)(7.500m),32.682(32.682%)(1.359m),17.208(17.208%)(0.000m),10.598(13.247%)(0.000m),40.000(100.000%)(3.214m),10.728(26.820%)(0.078m),None,None
27,1,-3.9288,-2.6573,0.000,213,517,0.949,45,0.00,441,195.50,0,0,9.629(12.036%)(0.000m),14.226(14.226%)(0.000m),23.089(23.089%)(0.331m),74.752(74.752%)(5.866m),58.724(73.405%)(4.149m),11.299(28.247%)(0.139m),40.000(100.000%)(3.214m),None,None
28,1,-1.7392,-2.6245,0.000,106,279,0.947,35,0.00,452,95.41,0,0,9.826(12.282%)(0.000m),15.300(15.300%)(0.000m),26.965(26.965%)(0.746m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.574(26.436%)(0.062m),40.000(100.000%)(3.214m),None,None
29,1,-3.1023,-2.6410,0.000,128,310,0.945,35,0.00,465,114.90,0,0,11.287(14.109%)(0.000m),20.010(20.010%)(0.001m),45.973(45.973%)(2.783m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.234(25.584%)(0.025m),40.000(100.000%)(3.214m),None,None
30,1,-2.5541,-2.6381,0.000,127,340,0.944,40,0.00,478,112.05,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),65.037(65.037%)(4.825m),23.948(23.948%)(0.423m),12.100(15.125%)(0.000m),40.000(100.000%)(3.214m),9.807(24.519%)(0.000m),None,None
31,1,-0.3324,-2.5637,0.000,208,570,0.942,50,0.00,499,198.26,0,0,8.869(11.087%)(0.000m),12.667(12.667%)(0.000m),19.599(19.599%)(0.000m),50.960(50.960%)(3.317m),61.690(77.112%)(4.467m),11.082(27.705%)(0.116m),40.000(100.000%)(3.214m),1682.240,1788.723
32,1,-3.7907,-2.6021,0.736,137,333,0.940,35,0.00,513,139.21,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),27.171(27.171%)(0.768m),15.620(15.620%)(0.000m),10.111(12.639%)(0.000m),40.000(100.000%)(3.214m),11.016(27.541%)(0.109m),None,None
33,1,-3.6659,-2.6343,0.728,94,235,0.938,30,0.00,523,115.10,0,0,10.850(13.563%)(0.000m),17.776(17.776%)(0.000m),34.340(34.340%)(1.536m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.850(27.125%)(0.091m),40.000(100.000%)(3.214m),None,None
34,1,-0.6148,-2.5749,0.790,157,380,0.936,40,0.00,539,269.96,0,0,66.087(82.609%)(4.938m),59.404(59.404%)(4.222m),22.020(22.020%)(0.216m),14.105(14.105%)(0.000m),9.811(12.264%)(0.000m),40.000(100.000%)(3.214m),12.105(30.262%)(0.226m),None,None
35,1,-0.9208,-2.5276,0.752,123,321,0.934,35,0.00,552,236.60,0,0,11.770(14.712%)(0.000m),22.107(22.107%)(0.226m),58.057(58.057%)(4.077m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.031(25.077%)(0.003m),40.000(100.000%)(3.214m),None,None
36,1,-1.7375,-2.5057,0.557,185,475,0.932,45,0.00,571,356.81,0,0,11.207(14.008%)(0.000m),19.254(19.254%)(0.000m),41.077(41.077%)(2.258m),100.000(100.000%)(8.571m),61.522(76.903%)(4.449m),10.542(26.354%)(0.058m),40.000(100.000%)(3.214m),None,None
37,1,-2.9278,-2.5171,0.247,214,524,0.930,50,0.00,593,387.34,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),49.644(49.644%)(3.176m),20.398(20.398%)(0.043m),11.253(14.067%)(0.000m),40.000(100.000%)(3.214m),9.954(24.885%)(0.000m),None,None
38,1,-1.4008,-2.4877,0.209,348,909,0.929,65,0.00,628,585.03,0,0,10.384(12.980%)(0.000m),15.678(15.678%)(0.000m),26.293(26.293%)(0.674m),42.000(42.000%)(2.357m),38.734(48.417%)(2.007m),11.739(29.347%)(0.186m),27.902(69.755%)(1.918m),907.775,1874.038
39,1,-2.8362,-2.4967,0.175,131,330,0.927,35,0.00,642,255.59,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),33.387(33.387%)(1.434m),17.282(17.282%)(0.000m),10.549(13.186%)(0.000m),40.000(100.000%)(3.214m),10.549(26.372%)(0.059m),None,None
40,1,-4.3027,-2.5418,0.196,122,293,0.925,35,0.00,655,229.83,0,0,12.761(15.952%)(0.000m),26.950(26.950%)(0.745m),82.290(82.290%)(6.674m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.704(24.260%)(0.000m),40.000(100.000%)(3.214m),None,None
41,1,-1.1283,-2.5073,0.187,108,275,0.923,35,0.00,666,215.79,0,0,9.736(12.169%)(0.000m),14.699(14.699%)(0.000m),24.651(24.651%)(0.498m),96.737(96.737%)(8.222m),76.230(95.288%)(6.025m),11.006(27.515%)(0.108m),40.000(100.000%)(3.214m),None,None
