episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-4.4732,-4.4732,0.000,79,190,1.000,15,0.00,8,151.13,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),34.940(34.940%)(1.601m),17.766(17.766%)(0.000m),10.746(13.432%)(0.000m),40.000(100.000%)(3.214m),10.615(26.538%)(0.066m),None,None
2,1,-3.9693,-4.2213,0.000,191,469,0.998,30,0.00,28,390.83,0,0,75.027(93.784%)(5.896m),87.000(87.000%)(7.179m),35.690(35.690%)(1.681m),18.147(18.147%)(0.000m),10.976(13.721%)(0.000m),40.000(100.000%)(3.214m),10.843(27.108%)(0.090m),None,None
3,1,-2.0644,-3.5023,0.000,161,419,0.996,25,0.00,45,326.63,0,0,11.306(14.132%)(0.000m),20.493(20.493%)(0.053m),49.876(49.876%)(3.201m),88.000(88.000%)(7.286m),70.000(87.500%)(5.357m),10.001(25.002%)(0.000m),40.000(100.000%)(3.214m),None,None
4,1,-2.6902,-3.2993,0.000,141,345,0.994,25,0.00,60,315.01,0,0,11.659(14.573%)(0.000m),21.133(21.133%)(0.121m),51.432(51.432%)(3.368m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.313(25.782%)(0.034m),40.000(100.000%)(3.214m),None,None
5,1,-5.0714,-3.6537,0.725,95,230,0.992,15,0.00,70,369.72,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),27.645(27.645%)(0.819m),15.472(15.472%)(0.000m),9.857(12.321%)(0.000m),40.000(100.000%)(3.214m),10.478(26.196%)(0.051m),None,None
6,1,2.8415,-2.5712,0.627,299,730,0.990,40,0.00,100,1169.84,0,0,60.000(75.000%)(4.286m),61.000(61.000%)(4.393m),47.751(47.751%)(2.973m),20.213(20.213%)(0.023m),11.277(14.097%)(0.000m),40.000(100.000%)(3.214m),10.099(25.248%)(0.011m),1617.305,2677.346
7,1,-0.4059,-2.2619,0.419,387,970,0.988,45,0.00,139,1420.85,0,0,10.683(13.354%)(0.000m),17.998(17.998%)(0.000m),36.787(36.787%)(1.799m),68.000(68.000%)(5.143m),33.000(41.250%)(1.393m),10.299(25.746%)(0.032m),40.000(100.000%)(3.214m),None,None
8,1,-2.4680,-2.2876,0.566,78,201,0.986,15,0.00,147,306.87,0,0,8.805(11.006%)(0.000m),11.834(11.834%)(0.000m),16.956(16.956%)(0.000m),33.979(33.979%)(1.498m),77.067(96.334%)(6.114m),12.530(31.324%)(0.271m),40.000(100.000%)(3.214m),None,None
9,1,-3.3773,-2.4087,0.606,107,271,0.984,20,0.00,158,391.51,0,0,11.712(14.640%)(0.000m),21.230(21.230%)(0.132m),51.668(51.668%)(3.393m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.360(25.900%)(0.039m),40.000(100.000%)(3.214m),None,None
10,1,-3.1658,-2.4844,0.523,257,669,0.982,35,0.00,184,878.96,0,0,25.218(31.523%)(0.559m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),21.000(21.000%)(0.107m),75.668(94.586%)(5.964m),17.951(44.877%)(0.852m),40.000(100.000%)(3.214m),0.000,205.462
