episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-3.6117,-3.6117,0.000,119,289,1.000,20,0.00,12,247.26,0,0,10.855(13.568%)(0.000m),17.783(17.783%)(0.000m),34.355(34.355%)(1.538m),100.000(100.000%)(8.571m),67.684(84.605%)(5.109m),10.855(27.137%)(0.092m),40.000(100.000%)(3.214m),None,None
2,1,-4.0391,-3.8254,0.000,67,162,0.998,15,0.00,19,128.40,0,0,78.639(98.299%)(6.283m),35.535(35.535%)(1.664m),17.385(17.385%)(0.000m),12.051(12.051%)(0.000m),8.916(11.145%)(0.000m),40.000(100.000%)(3.214m),12.519(31.298%)(0.270m),None,None
3,1,-3.8399,-3.8302,0.000,227,551,0.996,30,0.00,42,473.52,0,0,56.276(70.346%)(3.887m),83.000(83.000%)(6.750m),30.115(30.115%)(1.084m),16.369(16.369%)(0.000m),10.257(12.821%)(0.000m),40.000(100.000%)(3.214m),10.640(26.600%)(0.069m),2910.192,4206.003
4,1,-0.7089,-3.0499,0.000,187,470,0.994,30,0.00,61,384.88,0,0,11.102(13.878%)(0.000m),19.473(19.473%)(0.000m),43.581(43.581%)(2.527m),79.000(79.000%)(6.321m),64.381(80.476%)(4.755m),10.190(25.476%)(0.020m),40.000(100.000%)(3.214m),2248.398,3141.989
5,1,2.5943,-1.9211,0.782,178,495,0.992,30,0.00,79,423.85,0,0,9.703(12.129%)(0.000m),13.858(13.858%)(0.000m),21.442(21.442%)(0.154m),47.000(47.000%)(2.893m),40.000(50.000%)(2.143m),12.124(30.310%)(0.228m),40.000(100.000%)(3.214m),410.637,923.521
6,1,-2.2899,-1.9825,0.931,96,244,0.990,20,0.00,89,229.42,0,0,69.057(86.321%)(5.256m),39.979(39.979%)(2.141m),19.156(19.156%)(0.000m),13.187(13.187%)(0.000m),9.700(12.124%)(0.000m),40.000(100.000%)(3.214m),13.440(33.601%)(0.369m),None,None
7,1,-4.7325,-2.3754,0.944,76,182,0.988,15,0.00,97,176.36,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),27.117(27.117%)(0.763m),15.386(15.386%)(0.000m),9.881(12.352%)(0.000m),40.000(100.000%)(3.214m),10.634(26.585%)(0.068m),None,None
8,1,-2.0257,-2.3317,0.881,246,603,0.986,35,0.00,122,642.72,0,0,10.916(13.645%)(0.000m),18.570(18.570%)(0.000m),38.755(38.755%)(2.009m),77.000(77.000%)(6.107m),61.636(77.046%)(4.461m),10.395(25.988%)(0.042m),40.000(100.000%)(3.214m),2496.142,3916.533
9,1,-2.3497,-2.3337,0.660,135,344,0.984,25,0.00,136,323.16,0,0,78.639(98.299%)(6.283m),97.000(97.000%)(8.250m),41.368(41.368%)(2.289m),19.391(19.391%)(0.000m),11.286(14.107%)(0.000m),40.000(100.000%)(3.214m),10.616(26.541%)(0.066m),None,None
10,1,-4.2429,-2.5246,0.463,93,225,0.982,15,0.00,146,223.52,0,0,10.719(13.399%)(0.000m),17.561(17.561%)(0.000m),33.925(33.925%)(1.492m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.719(26.797%)(0.077m),40.000(100.000%)(3.214m),None,None
11,1,0.3117,-2.2668,0.319,165,419,0.980,25,0.00,163,420.62,0,0,69.042(86.302%)(5.254m),67.338(67.338%)(5.072m),22.968(22.968%)(0.318m),14.438(14.438%)(0.000m),9.909(12.386%)(0.000m),40.000(100.000%)(3.214m),11.921(29.803%)(0.206m),2626.610,2695.873
12,1,-2.6055,-2.2950,0.341,112,271,0.978,20,0.00,175,263.51,0,0,69.057(86.321%)(5.256m),100.000(100.000%)(8.571m),34.593(34.593%)(1.564m),17.907(17.907%)(0.000m),10.930(13.663%)(0.000m),40.000(100.000%)(3.214m),10.930(27.325%)(0.100m),None,None
13,1,-4.0057,-2.4266,0.331,80,194,0.976,15,0.00,183,187.99,0,0,9.478(11.847%)(0.000m),13.363(13.363%)(0.000m),20.325(20.325%)(0.035m),49.465(49.465%)(3.157m),76.230(95.288%)(6.025m),12.148(30.369%)(0.230m),40.000(100.000%)(3.214m),None,None
14,1,-3.2014,-2.4819,0.468,108,266,0.974,20,0.00,194,266.23,0,0,11.101(13.877%)(0.000m),18.525(18.525%)(0.000m),37.125(37.125%)(1.835m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.833(27.083%)(0.089m),40.000(100.000%)(3.214m),None,None
15,1,-1.8423,-2.4393,0.545,166,440,0.972,30,0.00,211,417.81,0,0,63.129(78.912%)(4.621m),81.000(81.000%)(6.536m),26.914(26.914%)(0.741m),15.270(15.270%)(0.000m),9.807(12.259%)(0.000m),40.000(100.000%)(3.214m),10.554(26.386%)(0.059m),1121.516,1341.843
16,1,-1.4252,-2.3759,0.604,127,349,0.970,25,0.00,224,335.05,0,0,72.000(90.000%)(5.571m),89.000(89.000%)(7.393m),66.843(66.843%)(5.019m),24.444(24.444%)(0.476m),12.350(15.438%)(0.000m),40.000(100.000%)(3.214m),10.010(25.026%)(0.001m),1491.607,1558.249
