episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-3.0066,-3.0066,0.000,80,202,1.000,25,0.00,8,70.80,0,0,9.073(11.342%)(0.000m),12.793(12.793%)(0.000m),19.458(19.458%)(0.000m),47.355(47.355%)(2.931m),77.067(96.334%)(6.114m),11.629(29.073%)(0.175m),40.000(100.000%)(3.214m),None,None
2,1,-3.4647,-3.2357,0.000,94,233,0.998,30,0.00,18,84.43,0,0,8.896(11.119%)(0.000m),12.542(12.542%)(0.000m),19.077(19.077%)(0.000m),46.428(46.428%)(2.832m),77.067(96.334%)(6.114m),11.402(28.504%)(0.150m),40.000(100.000%)(3.214m),None,None
3,1,-3.1389,-3.2034,0.000,93,237,0.996,30,0.00,28,84.92,0,0,9.858(12.322%)(0.000m),15.733(15.733%)(0.000m),28.943(28.943%)(0.958m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.226(25.565%)(0.024m),40.000(100.000%)(3.214m),None,None
4,1,-3.8592,-3.3673,0.000,264,643,0.994,50,0.00,55,257.50,0,0,10.998(13.747%)(0.000m),18.708(18.708%)(0.000m),39.044(39.044%)(2.040m),100.000(100.000%)(8.571m),58.143(72.679%)(4.087m),10.473(26.182%)(0.051m),40.000(100.000%)(3.214m),None,None
5,1,-2.9452,-3.2829,0.496,435,1075,0.992,65,0.00,99,639.27,0,0,10.535(13.168%)(0.000m),16.536(16.536%)(0.000m),29.546(29.546%)(1.023m),68.000(68.000%)(5.143m),52.211(65.264%)(3.451m),11.199(27.997%)(0.128m),38.022(95.055%)(3.002m),None,None
6,1,-4.8415,-3.5427,0.343,131,314,0.990,35,0.00,113,160.18,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),51.783(51.783%)(3.405m),21.277(21.277%)(0.137m),11.738(14.673%)(0.000m),40.000(100.000%)(3.214m),10.383(25.958%)(0.041m),None,None
7,1,-2.0353,-3.3273,0.336,173,447,0.988,45,0.00,131,282.25,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),29.510(29.510%)(1.019m),16.041(16.041%)(0.000m),10.051(12.563%)(0.000m),40.000(100.000%)(3.214m),10.426(26.066%)(0.046m),None,None
8,1,1.3126,-2.7474,0.252,339,852,0.986,60,0.00,165,481.41,0,0,8.659(10.824%)(0.000m),11.572(11.572%)(0.000m),16.471(16.471%)(0.000m),32.395(32.395%)(1.328m),23.168(28.960%)(0.339m),12.489(31.222%)(0.267m),16.428(41.070%)(0.689m),2924.911,3774.238
9,1,-0.8384,-2.5352,0.229,138,368,0.984,40,0.00,179,204.03,0,0,12.426(15.532%)(0.000m),24.942(24.942%)(0.529m),67.522(67.522%)(5.092m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.945(24.862%)(0.000m),40.000(100.000%)(3.214m),None,None
10,1,-3.7128,-2.6530,0.195,190,465,0.982,45,0.00,198,231.38,0,0,56.874(71.092%)(3.951m),100.000(100.000%)(8.571m),49.858(49.858%)(3.199m),20.486(20.486%)(0.052m),11.302(14.127%)(0.000m),40.000(100.000%)(3.214m),9.997(24.993%)(0.000m),None,None
11,1,-5.2170,-2.8861,0.209,179,441,0.980,45,0.00,216,308.25,0,0,47.791(59.739%)(2.978m),50.024(50.024%)(3.217m),20.554(20.554%)(0.059m),13.514(13.514%)(0.000m),9.585(11.981%)(0.000m),34.769(86.923%)(2.654m),12.285(30.712%)(0.245m),None,None
12,1,0.8107,-2.5780,0.175,129,337,0.978,35,0.00,229,145.70,0,0,77.786(97.233%)(6.191m),32.191(32.191%)(1.306m),16.368(16.368%)(0.000m),11.499(11.499%)(0.000m),8.605(10.756%)(0.000m),40.000(100.000%)(3.214m),12.410(31.026%)(0.258m),None,None
13,1,-2.7586,-2.5919,0.177,200,492,0.976,45,0.00,249,272.27,0,0,11.453(14.316%)(0.000m),20.760(20.760%)(0.081m),50.524(50.524%)(3.270m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.131(25.327%)(0.014m),40.000(100.000%)(3.214m),None,None
14,1,-2.8566,-2.6108,0.187,89,222,0.974,30,0.00,258,138.83,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),34.240(34.240%)(1.526m),17.724(17.724%)(0.000m),10.818(13.523%)(0.000m),40.000(100.000%)(3.214m),10.818(27.046%)(0.088m),None,None
15,1,-3.0165,-2.6379,0.186,98,251,0.972,30,0.00,268,163.16,0,0,11.315(14.144%)(0.000m),20.060(20.060%)(0.006m),46.085(46.085%)(2.795m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.259(25.647%)(0.028m),40.000(100.000%)(3.214m),None,None
16,1,-1.0022,-2.5356,0.136,128,325,0.970,35,0.00,281,192.99,0,0,8.910(11.137%)(0.000m),12.725(12.725%)(0.000m),19.689(19.689%)(0.000m),51.192(51.192%)(3.342m),67.684(84.605%)(5.109m),11.133(27.832%)(0.121m),40.000(100.000%)(3.214m),None,None
17,1,-3.8774,-2.6146,0.132,104,254,0.968,30,0.00,292,155.36,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),51.647(51.647%)(3.391m),21.221(21.221%)(0.131m),11.707(14.634%)(0.000m),40.000(100.000%)(3.214m),10.356(25.889%)(0.038m),None,None
