episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-2.0286,-2.0286,0.000,164,410,1.000,40,0.00,17,146.24,0,0,71.979(89.973%)(5.569m),100.000(100.000%)(8.571m),60.134(60.134%)(4.300m),22.989(22.989%)(0.320m),12.087(15.109%)(0.000m),40.000(100.000%)(3.214m),10.173(25.434%)(0.019m),None,None
2,1,-2.9612,-2.4949,0.000,270,671,0.998,55,0.00,44,250.86,0,0,11.452(14.315%)(0.000m),20.758(20.758%)(0.081m),50.519(50.519%)(3.270m),94.317(94.317%)(7.962m),51.516(64.395%)(3.377m),10.130(25.324%)(0.014m),37.707(94.268%)(2.969m),None,None
3,1,-4.2174,-3.0691,0.000,169,404,0.996,40,0.00,61,153.56,0,0,11.423(14.279%)(0.000m),20.947(20.947%)(0.101m),52.630(52.630%)(3.496m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.980(24.951%)(0.000m),40.000(100.000%)(3.214m),None,None
4,1,-6.0614,-3.8171,0.343,246,600,0.994,50,0.00,86,342.47,0,0,10.034(12.543%)(0.000m),14.721(14.721%)(0.000m),23.650(23.650%)(0.391m),72.697(72.697%)(5.646m),37.649(47.062%)(1.891m),11.922(29.804%)(0.206m),27.138(67.844%)(1.836m),None,None
5,1,-2.9710,-3.6479,0.316,175,431,0.992,40,0.00,104,216.77,0,0,9.785(12.231%)(0.000m),14.258(14.258%)(0.000m),22.681(22.681%)(0.287m),66.497(66.497%)(4.982m),57.734(72.167%)(4.043m),11.772(29.431%)(0.190m),40.000(100.000%)(3.214m),None,None
6,1,-2.6258,-3.4776,0.353,90,237,0.990,30,0.00,113,144.37,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),25.502(25.502%)(0.590m),15.207(15.207%)(0.000m),10.072(12.590%)(0.000m),40.000(100.000%)(3.214m),11.386(28.465%)(0.149m),None,None
7,1,-3.9250,-3.5415,0.351,77,187,0.988,25,0.00,121,112.75,0,0,10.454(13.067%)(0.000m),17.127(17.127%)(0.000m),33.086(33.086%)(1.402m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.454(26.135%)(0.049m),40.000(100.000%)(3.214m),None,None
8,1,-1.9770,-3.3459,0.353,128,315,0.986,35,0.00,134,154.47,0,0,12.179(15.223%)(0.000m),24.446(24.446%)(0.476m),65.982(65.982%)(4.927m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.747(24.368%)(0.000m),40.000(100.000%)(3.214m),None,None
9,1,-4.0463,-3.4237,0.272,102,247,0.984,30,0.00,145,140.42,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),34.442(34.442%)(1.547m),17.828(17.828%)(0.000m),10.882(13.603%)(0.000m),40.000(100.000%)(3.214m),10.882(27.205%)(0.095m),None,None
10,1,-5.5556,-3.6369,0.159,299,758,0.982,60,0.00,175,427.58,0,0,11.675(14.593%)(0.000m),21.162(21.162%)(0.124m),51.503(51.503%)(3.375m),90.000(90.000%)(7.500m),53.004(66.254%)(3.536m),10.327(25.817%)(0.035m),38.599(96.497%)(3.064m),None,None
11,1,-3.7427,-3.6465,0.120,145,350,0.980,35,0.00,190,216.12,0,0,63.104(78.880%)(4.618m),100.000(100.000%)(8.571m),26.194(26.194%)(0.664m),15.619(15.619%)(0.000m),10.345(12.931%)(0.000m),40.000(100.000%)(3.214m),11.695(29.237%)(0.182m),None,None
12,1,-3.0473,-3.5966,0.122,75,183,0.978,25,0.00,198,106.97,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),29.443(29.443%)(1.012m),16.478(16.478%)(0.000m),10.498(13.122%)(0.000m),40.000(100.000%)(3.214m),11.160(27.900%)(0.124m),None,None
13,1,-4.1101,-3.6361,0.114,247,640,0.976,55,0.00,223,361.53,0,0,25.242(31.553%)(0.562m),48.060(48.060%)(3.006m),19.747(19.747%)(0.000m),12.983(12.983%)(0.000m),9.208(11.510%)(0.000m),17.947(44.868%)(0.851m),11.802(29.506%)(0.193m),None,None
14,1,-4.2540,-3.6802,0.105,87,209,0.974,25,0.00,232,114.13,0,0,11.057(13.822%)(0.000m),18.628(18.628%)(0.000m),38.075(38.075%)(1.937m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.659(26.648%)(0.071m),40.000(100.000%)(3.214m),None,None
15,1,-5.9155,-3.8293,0.099,471,1151,0.972,70,0.00,280,654.64,0,0,11.359(14.199%)(0.000m),20.828(20.828%)(0.089m),52.001(52.001%)(3.429m),40.578(40.578%)(2.205m),19.412(24.265%)(0.000m),9.924(24.810%)(0.000m),13.732(34.330%)(0.400m),4553.358,5001.518
16,1,-4.8184,-3.8911,0.106,413,1056,0.970,70,0.00,322,651.48,0,0,27.137(33.921%)(0.765m),21.000(21.000%)(0.107m),84.000(84.000%)(6.857m),90.927(90.927%)(7.599m),43.981(54.976%)(2.569m),19.355(48.388%)(1.002m),31.796(79.489%)(2.335m),0.000,1921.833
17,1,-3.5153,-3.8690,0.091,123,297,0.968,35,0.00,335,157.34,0,0,75.229(94.036%)(5.917m),74.748(74.748%)(5.866m),23.088(23.088%)(0.331m),14.226(14.226%)(0.000m),9.629(12.036%)(0.000m),40.000(100.000%)(3.214m),11.298(28.245%)(0.139m),None,None
18,1,-3.3149,-3.8382,0.085,143,353,0.967,40,0.00,350,224.34,0,0,12.597(15.746%)(0.000m),26.044(26.044%)(0.648m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.828(24.571%)(0.000m),40.000(100.000%)(3.214m),None,None
19,1,-3.5962,-3.8255,0.110,150,378,0.965,40,0.00,365,225.01,0,0,11.622(14.527%)(0.000m),21.066(21.066%)(0.114m),51.269(51.269%)(3.350m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.280(25.700%)(0.030m),40.000(100.000%)(3.214m),None,None
20,1,-4.5527,-3.8618,0.103,133,321,0.963,35,0.00,379,194.00,0,0,11.696(14.620%)(0.000m),21.968(21.968%)(0.211m),57.504(57.504%)(4.018m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.967(24.919%)(0.000m),40.000(100.000%)(3.214m),None,None
21,1,-4.1258,-3.8744,0.121,368,927,0.961,65,0.00,416,497.33,0,0,14.199(17.749%)(0.000m),30.408(30.408%)(1.115m),46.555(46.555%)(2.845m),20.264(20.264%)(0.028m),11.430(14.288%)(0.000m),9.961(24.902%)(0.000m),10.363(25.908%)(0.039m),1494.914,1872.964
22,1,-2.6984,-3.8209,0.127,146,353,0.959,40,0.00,431,198.66,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),29.487(29.487%)(1.016m),16.269(16.269%)(0.000m),10.280(12.849%)(0.000m),40.000(100.000%)(3.214m),10.795(26.987%)(0.085m),None,None
23,1,-4.1504,-3.8353,0.125,155,372,0.957,40,0.00,447,207.78,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),28.980(28.980%)(0.962m),16.219(16.219%)(0.000m),10.332(12.916%)(0.000m),40.000(100.000%)(3.214m),10.984(27.460%)(0.105m),None,None
24,1,1.5023,-3.6129,0.111,240,667,0.955,55,0.00,471,347.65,0,0,9.286(11.607%)(0.000m),14.020(14.020%)(0.000m),23.512(23.512%)(0.376m),59.000(59.000%)(4.179m),50.000(62.500%)(3.214m),10.498(26.244%)(0.053m),40.000(100.000%)(3.214m),868.383,1132.860
25,1,-4.5505,-3.6504,0.129,94,228,0.953,30,0.00,481,131.15,0,0,10.662(13.328%)(0.000m),18.138(18.138%)(0.000m),37.853(37.853%)(1.913m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.153(25.383%)(0.016m),40.000(100.000%)(3.214m),None,None
26,1,-3.8701,-3.6588,0.106,89,215,0.951,30,0.00,490,143.83,0,0,11.085(13.857%)(0.000m),19.869(19.869%)(0.000m),46.937(46.937%)(2.886m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.927(24.818%)(0.000m),40.000(100.000%)(3.214m),None,None
27,1,-0.3160,-3.5350,0.116,190,460,0.949,45,0.00,509,348.81,0,0,10.380(12.975%)(0.000m),17.006(17.006%)(0.000m),32.853(32.853%)(1.377m),100.000(100.000%)(8.571m),67.684(84.605%)(5.109m),10.380(25.950%)(0.041m),40.000(100.000%)(3.214m),None,None
28,1,-1.7640,-3.4718,0.109,393,1014,0.947,65,0.00,549,593.12,0,0,50.612(63.264%)(3.280m),35.000(35.000%)(1.607m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),24.000(30.000%)(0.429m),37.116(92.791%)(2.905m),36.408(91.021%)(2.829m),0.000,1486.104
29,1,-2.6697,-3.4441,0.131,170,413,0.945,40,0.00,566,277.00,0,0,77.786(97.233%)(6.191m),97.445(97.445%)(8.298m),24.832(24.832%)(0.518m),14.807(14.807%)(0.000m),9.807(12.258%)(0.000m),40.000(100.000%)(3.214m),11.087(27.717%)(0.116m),None,None
30,1,-2.3292,-3.4069,0.098,144,351,0.944,40,0.00,581,229.76,0,0,10.988(13.735%)(0.000m),18.692(18.692%)(0.000m),39.010(39.010%)(2.037m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.463(26.159%)(0.050m),40.000(100.000%)(3.214m),None,None
31,1,-5.5881,-3.4773,0.106,294,742,0.942,55,0.00,611,446.61,0,0,29.098(36.373%)(0.975m),38.095(38.095%)(1.939m),17.446(17.446%)(0.000m),11.837(11.837%)(0.000m),8.604(10.755%)(0.000m),20.822(52.055%)(1.160m),11.613(29.034%)(0.173m),3715.897,4581.715
32,1,-7.0952,-3.5904,0.100,365,896,0.940,60,0.00,648,504.64,0,0,35.997(44.996%)(1.714m),72.438(72.438%)(5.618m),23.987(23.987%)(0.427m),14.303(14.303%)(0.000m),9.473(11.842%)(0.000m),25.988(64.969%)(1.713m),10.710(26.774%)(0.076m),None,None
33,1,-2.4639,-3.5562,0.112,121,293,0.938,35,0.00,661,149.29,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),46.862(46.862%)(2.878m),19.837(19.837%)(0.000m),11.068(13.834%)(0.000m),40.000(100.000%)(3.214m),9.911(24.779%)(0.000m),None,None
34,1,-3.0997,-3.5428,0.100,92,235,0.936,30,0.00,671,140.05,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),31.749(31.749%)(1.259m),16.991(16.991%)(0.000m),10.556(13.195%)(0.000m),40.000(100.000%)(3.214m),10.817(27.043%)(0.088m),None,None
35,1,-2.3670,-3.5092,0.095,113,276,0.934,35,0.00,683,139.74,0,0,10.547(13.183%)(0.000m),17.279(17.279%)(0.000m),33.380(33.380%)(1.434m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.547(26.367%)(0.059m),40.000(100.000%)(3.214m),None,None
36,1,-3.8497,-3.5187,0.100,111,278,0.932,35,0.00,695,171.05,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),25.260(25.260%)(0.564m),14.887(14.887%)(0.000m),9.786(12.232%)(0.000m),40.000(100.000%)(3.214m),10.927(27.318%)(0.099m),None,None
