episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,1.0642,1.0642,0.000,303,746,1.000,55,0.00,31,301.29,0,0,68.344(85.430%)(5.180m),100.000(100.000%)(8.571m),77.371(77.371%)(6.147m),23.898(23.898%)(0.418m),12.075(15.093%)(0.000m),40.000(100.000%)(3.214m),9.787(24.467%)(0.000m),None,None
2,1,-2.0424,-0.4891,0.000,160,407,0.998,40,0.00,47,157.45,0,0,77.786(97.233%)(6.191m),97.203(97.203%)(8.272m),24.770(24.770%)(0.511m),14.770(14.770%)(0.000m),9.782(12.228%)(0.000m),40.000(100.000%)(3.214m),11.059(27.648%)(0.113m),None,None
3,1,-1.5145,-0.8309,0.430,305,861,0.996,65,0.00,78,350.20,0,0,9.698(12.122%)(0.000m),15.223(15.223%)(0.000m),27.200(27.200%)(0.771m),35.000(35.000%)(1.607m),23.080(28.850%)(0.330m),10.310(25.774%)(0.033m),16.374(40.935%)(0.683m),159.000,812.941
4,1,-2.4956,-1.2471,0.498,117,285,0.994,35,0.00,90,145.87,0,0,69.080(86.350%)(5.259m),99.464(99.464%)(8.514m),25.346(25.346%)(0.573m),15.114(15.114%)(0.000m),10.010(12.512%)(0.000m),40.000(100.000%)(3.214m),11.316(28.291%)(0.141m),None,None
5,1,-1.6246,-1.3226,0.539,193,500,0.992,45,0.00,110,287.75,0,0,9.800(12.249%)(0.000m),14.478(14.478%)(0.000m),23.498(23.498%)(0.375m),76.076(76.076%)(6.008m),57.691(72.113%)(4.038m),11.499(28.747%)(0.161m),40.000(100.000%)(3.214m),None,None
6,1,-3.8884,-1.7502,0.660,231,567,0.990,50,0.00,134,301.59,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),83.016(83.016%)(6.752m),25.497(25.497%)(0.589m),12.519(15.649%)(0.000m),40.000(100.000%)(3.214m),9.893(24.732%)(0.000m),None,None
7,1,-2.7684,-1.8957,0.671,125,312,0.988,35,0.00,147,179.05,0,0,12.497(15.622%)(0.000m),25.838(25.838%)(0.625m),74.132(74.132%)(5.800m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),9.751(24.376%)(0.000m),40.000(100.000%)(3.214m),None,None
8,1,-3.7127,-2.1228,0.834,96,243,0.986,30,0.00,157,122.49,0,0,11.148(13.935%)(0.000m),18.965(18.965%)(0.000m),39.580(39.580%)(2.098m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.616(26.540%)(0.066m),40.000(100.000%)(3.214m),None,None
9,1,-8.7681,-2.8612,0.735,512,1271,0.984,70,0.00,209,716.35,0,0,11.091(13.864%)(0.000m),18.508(18.508%)(0.000m),37.089(37.089%)(1.831m),30.356(30.356%)(1.110m),14.244(17.805%)(0.000m),10.823(27.058%)(0.088m),9.998(24.995%)(0.000m),1893.700,2674.281
10,1,3.8511,-2.1899,0.645,177,501,0.982,50,0.00,227,259.35,0,0,71.948(89.935%)(5.566m),92.857(92.857%)(7.806m),23.662(23.662%)(0.392m),14.110(14.110%)(0.000m),9.345(11.681%)(0.000m),40.000(100.000%)(3.214m),10.565(26.412%)(0.060m),1097.916,1109.816
