episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-6.6408,-6.6408,0.000,293,725,1.000,55,0.00,30,285.97,0,0,11.526(14.407%)(0.000m),20.891(20.891%)(0.096m),50.845(50.845%)(3.305m),89.991(89.991%)(7.499m),46.487(58.109%)(2.838m),10.195(25.487%)(0.021m),33.799(84.498%)(2.550m),None,None
2,1,-0.3798,-3.5103,0.000,165,409,0.998,40,0.00,47,154.86,0,0,11.740(14.675%)(0.000m),21.280(21.280%)(0.137m),51.791(51.791%)(3.406m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.385(25.962%)(0.041m),40.000(100.000%)(3.214m),None,None
3,1,-2.7382,-3.2529,0.397,319,789,0.996,60,0.00,79,373.62,0,0,77.786(97.233%)(6.191m),96.000(96.000%)(8.143m),47.076(47.076%)(2.901m),19.927(19.927%)(0.000m),11.118(13.898%)(0.000m),40.000(100.000%)(3.214m),9.957(24.892%)(0.000m),None,None
4,1,-0.4736,-2.5581,0.435,365,913,0.994,65,0.00,116,522.59,0,0,13.199(16.498%)(0.000m),28.214(28.214%)(0.880m),87.000(87.000%)(7.179m),78.000(78.000%)(6.214m),67.584(84.480%)(5.098m),9.652(24.129%)(0.000m),40.000(100.000%)(3.214m),2698.240,3368.388
5,1,-1.7406,-2.3946,0.454,183,445,0.992,45,0.00,135,267.70,0,0,10.391(12.989%)(0.000m),16.052(16.052%)(0.000m),27.922(27.922%)(0.849m),100.000(100.000%)(8.571m),70.616(88.270%)(5.423m),11.321(28.302%)(0.142m),40.000(100.000%)(3.214m),None,None
6,1,-1.1024,-2.1792,0.487,345,848,0.990,60,0.00,170,488.35,0,0,11.205(14.006%)(0.000m),20.310(20.310%)(0.033m),49.431(49.431%)(3.153m),98.000(98.000%)(8.357m),61.690(77.112%)(4.467m),9.911(24.779%)(0.000m),40.000(100.000%)(3.214m),None,None
7,1,-2.6693,-2.2492,0.508,254,630,0.988,50,0.00,196,348.99,0,0,66.078(82.597%)(4.937m),100.000(100.000%)(8.571m),42.418(42.418%)(2.402m),19.426(19.426%)(0.000m),11.192(13.990%)(0.000m),40.000(100.000%)(3.214m),10.399(25.999%)(0.043m),None,None
8,1,-4.9203,-2.5831,0.714,80,194,0.986,25,0.00,204,113.58,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),26.109(26.109%)(0.655m),15.569(15.569%)(0.000m),10.311(12.889%)(0.000m),40.000(100.000%)(3.214m),11.657(29.143%)(0.178m),None,None
9,1,-4.6583,-2.8137,0.939,155,380,0.984,40,0.00,220,203.44,0,0,10.418(13.023%)(0.000m),16.353(16.353%)(0.000m),29.220(29.220%)(0.988m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),11.075(27.688%)(0.115m),40.000(100.000%)(3.214m),None,None
10,1,-5.0358,-3.0359,0.793,279,674,0.982,55,0.00,248,387.99,0,0,12.436(15.545%)(0.000m),25.329(25.329%)(0.571m),67.163(67.163%)(5.053m),100.000(100.000%)(8.571m),67.684(84.605%)(5.109m),9.828(24.569%)(0.000m),40.000(100.000%)(3.214m),None,None
