episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-4.9879,-4.9879,0.000,97,235,1.000,50,0.00,10,17.67,0,0,10.511(13.138%)(0.000m),17.707(17.707%)(0.000m),36.193(36.193%)(1.735m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.132(25.330%)(0.014m),40.000(100.000%)(3.214m),None,None
2,1,2.6162,-1.1858,0.000,182,476,0.998,70,0.00,29,34.45,0,0,10.285(12.857%)(0.000m),16.851(16.851%)(0.000m),32.553(32.553%)(1.345m),100.000(100.000%)(8.571m),67.642(84.553%)(5.105m),10.285(25.713%)(0.031m),40.000(100.000%)(3.214m),None,None
3,1,-2.4123,-1.5947,0.000,253,653,0.996,80,0.00,55,45.54,0,0,78.639(98.299%)(6.283m),91.000(91.000%)(7.607m),100.000(100.000%)(8.571m),25.795(25.795%)(0.621m),12.477(15.596%)(0.000m),40.000(100.000%)(3.214m),9.735(24.336%)(0.000m),None,None
4,1,-3.5488,-2.0832,0.599,143,348,0.994,60,0.00,70,44.08,0,0,10.521(13.152%)(0.000m),16.253(16.253%)(0.000m),28.272(28.272%)(0.886m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),11.463(28.657%)(0.157m),40.000(100.000%)(3.214m),None,None
5,1,0.7552,-1.5155,0.706,379,935,0.992,85,0.00,108,153.37,0,0,10.860(13.574%)(0.000m),17.633(17.633%)(0.000m),33.489(33.489%)(1.445m),76.000(76.000%)(6.000m),55.514(69.392%)(3.805m),10.993(27.483%)(0.106m),40.000(100.000%)(3.214m),2752.654,3846.703
6,1,-3.1368,-1.7857,0.510,201,489,0.990,65,0.00,129,87.62,0,0,10.223(12.778%)(0.000m),15.551(15.551%)(0.000m),26.387(26.387%)(0.684m),86.823(86.823%)(7.160m),49.536(61.920%)(3.165m),11.415(28.537%)(0.152m),36.334(90.835%)(2.822m),None,None
7,1,-1.4292,-1.7348,0.463,141,394,0.988,65,0.00,144,55.22,0,0,12.504(15.630%)(0.000m),25.466(25.466%)(0.586m),74.834(74.834%)(5.875m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.881(24.703%)(0.000m),40.000(100.000%)(3.214m),None,None
8,1,-3.5946,-1.9673,0.426,86,208,0.986,45,0.00,153,34.90,0,0,9.044(11.305%)(0.000m),12.295(12.295%)(0.000m),17.861(17.861%)(0.000m),37.277(37.277%)(1.851m),76.230(95.288%)(6.025m),12.532(31.330%)(0.271m),40.000(100.000%)(3.214m),None,None
9,1,-4.8055,-2.2826,0.367,333,839,0.984,85,0.00,187,130.01,0,0,11.017(13.771%)(0.000m),19.323(19.323%)(0.000m),43.247(43.247%)(2.491m),76.895(76.895%)(6.096m),37.193(46.492%)(1.842m),10.112(25.280%)(0.012m),26.810(67.025%)(1.801m),3187.225,4265.158
10,1,-2.0551,-2.2599,0.480,155,372,0.982,60,0.00,203,58.81,0,0,10.899(13.623%)(0.000m),18.726(18.726%)(0.000m),39.949(39.949%)(2.137m),100.000(100.000%)(8.571m),67.666(84.582%)(5.107m),10.252(25.630%)(0.027m),40.000(100.000%)(3.214m),None,None
