episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-1.4024,-1.4024,0.000,429,1080,1.000,70,0.00,43,378.62,0,0,11.714(14.642%)(0.000m),21.479(21.479%)(0.159m),53.968(53.968%)(3.639m),77.000(77.000%)(6.107m),46.000(57.500%)(2.786m),10.234(25.585%)(0.025m),33.765(84.412%)(2.546m),3075.754,3314.983
2,1,-2.6912,-2.0468,0.000,168,456,0.998,45,0.00,60,153.32,0,0,58.745(73.432%)(4.151m),100.000(100.000%)(8.571m),35.559(35.559%)(1.667m),17.744(17.744%)(0.000m),10.633(13.292%)(0.000m),40.000(100.000%)(3.214m),10.377(25.941%)(0.040m),None,None
3,1,-6.3214,-3.4717,0.328,308,797,0.996,60,0.00,91,351.36,0,0,9.294(11.618%)(0.000m),13.274(13.274%)(0.000m),20.538(20.538%)(0.058m),53.399(53.399%)(3.578m),41.906(52.383%)(2.347m),11.613(29.031%)(0.173m),30.261(75.653%)(2.171m),1759.613,3411.824
4,1,-5.8346,-4.0624,0.372,386,1007,0.994,65,0.00,130,439.59,0,0,32.000(40.000%)(1.286m),38.000(38.000%)(1.929m),19.123(19.123%)(0.000m),13.164(13.164%)(0.000m),9.683(12.103%)(0.000m),24.402(61.006%)(1.543m),13.417(33.542%)(0.366m),250.695,873.898
5,1,-2.1222,-3.6744,0.336,122,310,0.992,35,0.00,143,142.94,0,0,9.596(11.995%)(0.000m),14.489(14.489%)(0.000m),24.298(24.298%)(0.460m),95.350(95.350%)(8.073m),67.642(84.553%)(5.105m),10.848(27.121%)(0.091m),40.000(100.000%)(3.214m),None,None
6,1,-3.2921,-3.6107,0.376,151,389,0.990,40,0.00,159,167.94,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),34.653(34.653%)(1.570m),17.938(17.938%)(0.000m),10.949(13.686%)(0.000m),40.000(100.000%)(3.214m),10.949(27.372%)(0.102m),None,None
7,1,-1.2007,-3.2664,0.383,268,666,0.988,55,0.00,186,311.52,0,0,12.455(15.569%)(0.000m),25.000(25.000%)(0.536m),66.588(66.588%)(4.992m),100.000(100.000%)(8.571m),67.642(84.553%)(5.105m),9.968(24.920%)(0.000m),40.000(100.000%)(3.214m),None,None
8,1,-3.8772,-3.3427,0.356,212,520,0.986,45,0.00,208,254.99,0,0,75.045(93.806%)(5.898m),100.000(100.000%)(8.571m),35.196(35.196%)(1.628m),17.563(17.563%)(0.000m),10.525(13.156%)(0.000m),40.000(100.000%)(3.214m),10.270(25.676%)(0.029m),None,None
9,1,1.4953,-2.8052,0.242,290,736,0.984,55,0.00,237,360.29,0,0,44.636(55.795%)(2.640m),82.578(82.578%)(6.705m),50.091(50.091%)(3.224m),20.582(20.582%)(0.062m),11.355(14.193%)(0.000m),32.394(80.985%)(2.399m),10.044(25.110%)(0.005m),None,None
10,1,-3.3220,-2.8569,0.168,99,243,0.982,30,0.00,247,109.29,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),50.862(50.862%)(3.307m),20.899(20.899%)(0.096m),11.530(14.412%)(0.000m),40.000(100.000%)(3.214m),10.198(25.496%)(0.021m),None,None
11,1,-2.5613,-2.8300,0.180,210,519,0.980,45,0.00,268,242.35,0,0,72.030(90.038%)(5.575m),100.000(100.000%)(8.571m),32.980(32.980%)(1.391m),17.072(17.072%)(0.000m),10.420(13.025%)(0.000m),40.000(100.000%)(3.214m),10.420(26.051%)(0.045m),None,None
12,1,-3.8475,-2.9148,0.258,84,205,0.978,25,0.00,277,97.64,0,0,9.536(11.920%)(0.000m),13.446(13.446%)(0.000m),20.451(20.451%)(0.048m),49.772(49.772%)(3.190m),77.067(96.334%)(6.114m),12.223(30.557%)(0.238m),40.000(100.000%)(3.214m),None,None
13,1,-2.5390,-2.8859,0.179,236,575,0.976,50,0.00,301,281.20,0,0,11.807(14.759%)(0.000m),22.457(22.457%)(0.263m),63.049(63.049%)(4.612m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),9.938(24.845%)(0.000m),40.000(100.000%)(3.214m),None,None
14,1,-4.5953,-3.0080,0.185,482,1167,0.974,70,0.00,350,609.04,0,0,67.546(84.432%)(5.094m),71.000(71.000%)(5.464m),26.481(26.481%)(0.694m),15.418(15.418%)(0.000m),10.058(12.572%)(0.000m),40.000(100.000%)(3.214m),9.948(24.869%)(0.000m),2944.585,3944.655
15,1,-2.3966,-2.9672,0.181,373,930,0.972,65,0.00,388,432.09,0,0,33.251(41.564%)(1.420m),62.785(62.785%)(4.584m),28.241(28.241%)(0.883m),16.236(16.236%)(0.000m),10.510(13.137%)(0.000m),23.867(59.668%)(1.486m),11.450(28.625%)(0.155m),2362.243,3461.889
16,1,-3.7468,-3.0159,0.167,69,171,0.970,25,0.00,395,82.57,0,0,9.182(11.478%)(0.000m),12.271(12.271%)(0.000m),17.466(17.466%)(0.000m),34.351(34.351%)(1.538m),77.067(96.334%)(6.114m),13.243(33.108%)(0.348m),40.000(100.000%)(3.214m),None,None
17,1,-4.1325,-3.0816,0.193,99,239,0.968,30,0.00,405,124.72,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),32.547(32.547%)(1.344m),17.137(17.137%)(0.000m),10.554(13.193%)(0.000m),40.000(100.000%)(3.214m),10.684(26.710%)(0.073m),None,None
18,1,-3.8117,-3.1222,0.176,80,195,0.967,25,0.00,413,92.15,0,0,78.639(98.299%)(6.283m),96.001(96.001%)(8.143m),24.464(24.464%)(0.478m),14.588(14.588%)(0.000m),9.661(12.077%)(0.000m),40.000(100.000%)(3.214m),10.922(27.306%)(0.099m),None,None
19,1,-3.0956,-3.1208,0.175,352,886,0.965,60,0.00,449,406.70,0,0,23.906(29.883%)(0.419m),47.598(47.598%)(2.957m),83.971(83.971%)(6.854m),24.642(24.642%)(0.497m),12.277(15.346%)(0.000m),16.973(42.431%)(0.747m),9.825(24.564%)(0.000m),2465.965,3650.889
20,1,-3.1160,-3.1205,0.178,497,1224,0.963,70,0.00,499,573.21,0,0,12.519(15.649%)(0.000m),25.883(25.883%)(0.630m),100.000(100.000%)(8.571m),62.000(62.000%)(4.500m),49.000(61.250%)(3.107m),9.768(24.419%)(0.000m),40.000(100.000%)(3.214m),None,None
21,1,-1.5804,-3.0472,0.194,93,238,0.961,30,0.00,509,114.36,0,0,9.155(11.444%)(0.000m),13.161(13.161%)(0.000m),20.547(20.547%)(0.059m),55.430(55.430%)(3.796m),67.684(84.605%)(5.109m),11.295(28.237%)(0.139m),40.000(100.000%)(3.214m),None,None
22,1,-6.3991,-3.1996,0.219,373,948,0.959,65,0.00,547,454.23,0,0,50.942(63.678%)(3.315m),55.000(55.000%)(3.750m),50.650(50.650%)(3.284m),20.811(20.811%)(0.087m),11.481(14.352%)(0.000m),37.036(92.590%)(2.897m),10.156(25.390%)(0.017m),1992.241,3251.094
23,1,-0.3630,-3.0762,0.229,256,719,0.957,60,0.00,573,285.23,0,0,62.295(77.868%)(4.532m),24.000(24.000%)(0.429m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),21.272(26.591%)(0.136m),40.000(100.000%)(3.214m),15.035(37.588%)(0.539m),0.000,107.382
24,1,-1.6955,-3.0187,0.248,384,989,0.955,65,0.00,612,490.95,0,0,10.540(13.175%)(0.000m),17.268(17.268%)(0.000m),33.359(33.359%)(1.431m),52.000(52.000%)(3.429m),42.000(52.500%)(2.357m),10.540(26.350%)(0.058m),32.094(80.234%)(2.367m),781.457,2129.439
25,1,-4.1656,-3.0646,0.230,86,212,0.953,30,0.00,621,97.70,0,0,10.330(12.913%)(0.000m),16.349(16.349%)(0.000m),29.633(29.633%)(1.032m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.848(27.121%)(0.091m),40.000(100.000%)(3.214m),None,None
26,1,-0.0087,-2.9470,0.303,277,681,0.951,55,0.00,649,344.91,0,0,12.653(15.817%)(0.000m),26.160(26.160%)(0.660m),77.633(77.633%)(6.175m),100.000(100.000%)(8.571m),57.677(72.096%)(4.037m),9.872(24.681%)(0.000m),40.000(100.000%)(3.214m),None,None
27,1,-5.3823,-3.0372,0.324,216,535,0.949,50,0.00,671,269.06,0,0,33.545(41.931%)(1.451m),63.352(63.352%)(4.645m),29.623(29.623%)(1.031m),16.344(16.344%)(0.000m),10.327(12.909%)(0.000m),24.138(60.345%)(1.515m),10.845(27.112%)(0.091m),None,None
28,1,-3.0223,-3.0367,0.381,168,405,0.947,40,0.00,688,202.45,0,0,77.786(97.233%)(6.191m),99.362(99.362%)(8.503m),25.320(25.320%)(0.570m),15.098(15.098%)(0.000m),10.000(12.500%)(0.000m),40.000(100.000%)(3.214m),11.305(28.262%)(0.140m),None,None
29,1,-4.5976,-3.0905,0.356,155,379,0.945,40,0.00,704,185.58,0,0,8.516(10.645%)(0.000m),11.317(11.317%)(0.000m),16.004(16.004%)(0.000m),30.918(30.918%)(1.170m),52.768(65.959%)(3.511m),12.449(31.123%)(0.262m),38.405(96.013%)(3.043m),None,None
30,1,-3.5459,-3.1057,0.368,242,596,0.944,50,0.00,729,283.55,0,0,10.080(12.600%)(0.000m),16.225(16.225%)(0.000m),30.317(30.317%)(1.105m),100.000(100.000%)(8.571m),61.623(77.029%)(4.460m),10.329(25.823%)(0.035m),40.000(100.000%)(3.214m),None,None
