episode,close distance,MSE,Reward,Avg reward,time,timeframe,steps,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,reached_finish,progress_pct
1,0,0.000,20.340,20.340,4630,271,836,56.513(70.641%)(3.912m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),93.000(93.000%)(7.821m),43.000(53.750%)(2.464m),40.000(100.000%)(3.214m),27.000(67.500%)(1.821m),None,None,True,100.000
2,76,0.000,17.930,19.135,4494,271,836,21.000(26.250%)(0.107m),39.000(39.000%)(2.036m),59.000(59.000%)(4.179m),47.919(47.919%)(2.991m),22.787(28.483%)(0.299m),18.000(45.000%)(0.857m),16.086(40.215%)(0.652m),155.632,668.977,True,100.000
3,0,0.000,17.460,18.577,4484,270,833,51.000(63.750%)(3.321m),93.000(93.000%)(7.821m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),51.100(63.875%)(3.332m),40.000(100.000%)(3.214m),37.097(92.742%)(2.903m),None,None,True,100.000
4,0,0.000,21.540,19.317,4472,270,833,39.000(48.750%)(2.036m),74.000(74.000%)(5.786m),100.000(100.000%)(8.571m),68.000(68.000%)(5.143m),24.000(30.000%)(0.429m),29.000(72.500%)(2.036m),17.000(42.500%)(0.750m),None,None,True,100.000
5,9,0.000,20.850,19.624,4509,272,840,24.348(30.434%)(0.466m),51.031(51.031%)(3.325m),50.000(50.000%)(3.214m),37.000(37.000%)(1.821m),24.000(30.000%)(0.429m),17.219(43.047%)(0.773m),21.000(52.500%)(1.179m),130.307,651.202,True,100.000
6,94,0.000,17.420,19.257,4514,273,841,28.000(35.000%)(0.857m),43.000(43.000%)(2.464m),75.000(75.000%)(5.893m),48.699(48.699%)(3.075m),23.178(28.972%)(0.340m),25.000(62.500%)(1.607m),16.370(40.924%)(0.682m),253.378,723.832,True,100.000
7,0,0.000,25.860,20.200,6763,410,1287,56.488(70.609%)(3.909m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),76.000(76.000%)(6.000m),43.000(53.750%)(2.464m),40.000(100.000%)(3.214m),27.000(67.500%)(1.821m),None,None,True,100.000
8,11,0.000,25.780,20.897,6840,414,1296,22.000(27.500%)(0.214m),33.000(33.000%)(1.393m),48.000(48.000%)(3.000m),49.883(49.883%)(3.202m),23.772(29.715%)(0.404m),22.000(55.000%)(1.286m),16.801(42.003%)(0.729m),76.505,564.271,True,100.000
9,0,0.000,22.830,21.112,6883,417,1304,42.000(52.500%)(2.357m),83.000(83.000%)(6.750m),100.000(100.000%)(8.571m),93.000(93.000%)(7.821m),43.000(53.750%)(2.464m),27.000(67.500%)(1.821m),27.000(67.500%)(1.821m),None,None,True,100.000
10,0,0.000,28.200,21.821,6779,409,1284,39.000(48.750%)(2.036m),74.000(74.000%)(5.786m),100.000(100.000%)(8.571m),76.000(76.000%)(6.000m),24.000(30.000%)(0.429m),27.000(67.500%)(1.821m),17.000(42.500%)(0.750m),None,None,True,100.000
11,33,0.000,19.620,21.621,7386,445,1369,22.975(28.719%)(0.319m),48.211(48.211%)(3.023m),38.000(38.000%)(1.929m),32.000(32.000%)(1.286m),25.000(31.250%)(0.536m),16.212(40.531%)(0.666m),20.000(50.000%)(1.071m),158.769,586.755,True,100.000
12,11,0.000,26.260,22.007,6795,412,1292,21.000(26.250%)(0.107m),33.000(33.000%)(1.393m),48.000(48.000%)(3.000m),48.125(48.125%)(3.013m),23.287(29.109%)(0.352m),24.000(60.000%)(1.500m),16.449(41.123%)(0.691m),66.360,565.349,True,100.000
13,20,0.000,18.190,21.714,6837,415,1304,21.000(26.250%)(0.107m),39.000(39.000%)(2.036m),59.000(59.000%)(4.179m),38.000(38.000%)(1.929m),22.787(28.483%)(0.299m),18.000(45.000%)(0.857m),16.066(40.164%)(0.650m),155.632,645.031,True,100.000
14,214,0.000,24.830,21.936,6764,409,1284,21.000(26.250%)(0.107m),39.000(39.000%)(2.036m),59.000(59.000%)(4.179m),47.919(47.919%)(2.991m),22.787(28.483%)(0.299m),18.000(45.000%)(0.857m),16.086(40.215%)(0.652m),155.632,668.977,True,100.000
15,214,0.000,24.830,22.129,6776,409,1284,21.000(26.250%)(0.107m),39.000(39.000%)(2.036m),59.000(59.000%)(4.179m),47.919(47.919%)(2.991m),22.787(28.483%)(0.299m),18.000(45.000%)(0.857m),16.086(40.215%)(0.652m),155.632,668.977,True,100.000
16,20,0.000,26.020,22.372,6828,411,1291,21.000(26.250%)(0.107m),39.000(39.000%)(2.036m),59.000(59.000%)(4.179m),38.000(38.000%)(1.929m),22.787(28.483%)(0.299m),18.000(45.000%)(0.857m),16.066(40.164%)(0.650m),155.632,645.031,True,100.000
