episode,close distance,MSE,Reward,Avg reward,time,timeframe,steps,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,reached_finish,progress_pct
1,0,0.000,16.590,16.590,4725,279,854,52.053(65.066%)(3.434m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),66.000(66.000%)(4.929m),48.000(60.000%)(3.000m),37.649(94.122%)(2.962m),26.000(65.000%)(1.714m),None,None,True,100.000
2,9,0.000,14.460,15.525,4521,274,845,21.000(26.250%)(0.107m),38.000(38.000%)(1.929m),75.000(75.000%)(5.893m),48.077(48.077%)(3.008m),22.866(28.582%)(0.307m),18.000(45.000%)(0.857m),16.123(40.307%)(0.656m),151.825,669.024,True,100.000
3,66,0.000,18.270,16.440,4481,272,840,43.000(53.750%)(2.464m),93.000(93.000%)(7.821m),100.000(100.000%)(8.571m),47.274(47.274%)(2.922m),22.816(28.520%)(0.302m),40.000(100.000%)(3.214m),16.107(40.268%)(0.654m),None,None,True,100.000
4,0,0.000,23.220,18.135,4491,272,838,33.000(41.250%)(1.393m),66.000(66.000%)(4.929m),100.000(100.000%)(8.571m),93.000(93.000%)(7.821m),28.000(35.000%)(0.857m),29.000(72.500%)(2.036m),20.000(50.000%)(1.071m),None,None,True,100.000
5,9,0.000,20.730,18.654,4511,273,841,24.624(30.780%)(0.495m),51.582(51.582%)(3.384m),51.000(51.000%)(3.321m),38.000(38.000%)(1.929m),24.000(30.000%)(0.429m),17.419(43.548%)(0.795m),21.000(52.500%)(1.179m),156.644,675.451,True,100.000
6,9,0.000,14.460,17.955,4552,274,845,21.000(26.250%)(0.107m),32.000(32.000%)(1.286m),75.000(75.000%)(5.893m),48.077(48.077%)(3.008m),22.866(28.582%)(0.307m),18.000(45.000%)(0.857m),16.123(40.307%)(0.656m),83.163,633.029,True,100.000
7,0,0.000,18.240,17.996,6989,421,1314,52.016(65.020%)(3.430m),96.818(96.818%)(8.230m),100.000(100.000%)(8.571m),66.000(66.000%)(4.929m),39.000(48.750%)(2.036m),37.649(94.122%)(2.962m),26.000(65.000%)(1.714m),None,None,True,100.000
8,5,0.000,22.780,18.594,6927,418,1305,23.000(28.750%)(0.321m),40.000(40.000%)(2.143m),55.000(55.000%)(3.750m),49.479(49.479%)(3.158m),23.569(29.462%)(0.382m),20.000(50.000%)(1.071m),16.654(41.635%)(0.713m),192.240,634.067,True,100.000
9,0,0.000,18.480,18.581,6880,417,1304,44.000(55.000%)(2.571m),82.000(82.000%)(6.643m),100.000(100.000%)(8.571m),55.537(55.537%)(3.808m),27.460(34.325%)(0.799m),37.649(94.122%)(2.962m),19.483(48.706%)(1.016m),None,None,True,100.000
10,0,0.000,25.500,19.273,6861,416,1301,34.000(42.500%)(1.500m),65.000(65.000%)(4.821m),100.000(100.000%)(8.571m),66.000(66.000%)(4.929m),29.000(36.250%)(0.964m),29.000(72.500%)(2.036m),20.000(50.000%)(1.071m),None,None,True,100.000
11,36,0.000,16.440,19.015,7093,429,1336,21.547(26.934%)(0.166m),45.457(45.457%)(2.728m),44.000(44.000%)(2.571m),35.000(35.000%)(1.607m),25.000(31.250%)(0.536m),15.172(37.931%)(0.554m),23.000(57.500%)(1.393m),119.368,589.533,True,100.000
12,5,0.000,22.780,19.329,6931,418,1305,23.000(28.750%)(0.321m),34.000(34.000%)(1.500m),55.000(55.000%)(3.750m),49.351(49.351%)(3.145m),23.505(29.381%)(0.376m),20.000(50.000%)(1.071m),16.607(41.518%)(0.708m),105.641,592.581,True,100.000
13,9,0.000,17.220,19.167,6907,416,1305,21.000(26.250%)(0.107m),38.000(38.000%)(1.929m),75.000(75.000%)(5.893m),48.000(48.000%)(3.000m),22.866(28.582%)(0.307m),18.000(45.000%)(0.857m),16.123(40.307%)(0.656m),151.825,682.370,True,100.000
