episode,close distance,MSE,Reward,Avg reward,time,timeframe,steps,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,reached_finish,progress_pct
1,0,0.000,20.910,20.910,4585,271,836,60.512(75.640%)(4.341m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),88.289(88.289%)(7.317m),39.000(48.750%)(2.036m),40.000(100.000%)(3.214m),27.000(67.500%)(1.821m),None,None,True,100.000
2,104,0.000,17.710,19.310,4501,272,840,22.000(27.500%)(0.214m),34.000(34.000%)(1.500m),51.000(51.000%)(3.321m),47.360(47.360%)(2.931m),22.863(28.579%)(0.307m),24.000(60.000%)(1.500m),16.141(40.353%)(0.658m),90.523,632.808,True,100.000
3,0,0.000,17.970,18.863,4467,270,833,43.000(53.750%)(2.464m),93.000(93.000%)(7.821m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),55.010(68.762%)(3.751m),38.000(95.000%)(3.000m),40.000(100.000%)(3.214m),None,None,True,100.000
4,0,0.000,23.940,20.133,4475,270,833,39.000(48.750%)(2.036m),93.000(93.000%)(7.821m),100.000(100.000%)(8.571m),93.000(93.000%)(7.821m),28.000(35.000%)(0.857m),24.000(60.000%)(1.500m),20.000(50.000%)(1.071m),None,None,True,100.000
5,9,0.000,20.850,20.276,4506,272,840,24.348(30.434%)(0.466m),51.031(51.031%)(3.325m),50.000(50.000%)(3.214m),37.000(37.000%)(1.821m),24.000(30.000%)(0.429m),17.219(43.047%)(0.773m),21.000(52.500%)(1.179m),130.307,651.202,True,100.000
6,8,0.000,21.250,20.438,4576,275,846,23.000(28.750%)(0.321m),35.000(35.000%)(1.607m),51.000(51.000%)(3.321m),48.114(48.114%)(3.012m),23.289(29.111%)(0.352m),25.000(62.500%)(1.607m),16.462(41.155%)(0.692m),101.524,639.901,True,100.000
7,0,0.000,30.090,21.817,6785,409,1284,56.513(70.641%)(3.912m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),76.000(76.000%)(6.000m),39.000(48.750%)(2.036m),40.000(100.000%)(3.214m),27.000(67.500%)(1.821m),None,None,True,100.000
8,0,0.000,13.890,20.826,4692,284,875,23.000(28.750%)(0.321m),28.000(28.000%)(0.857m),100.000(100.000%)(8.571m),85.599(85.599%)(7.028m),39.000(48.750%)(2.036m),40.000(100.000%)(3.214m),27.000(67.500%)(1.821m),39.350,546.031,False,86.955
9,0,0.000,23.520,21.126,6765,409,1284,60.512(75.640%)(4.341m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),72.622(72.622%)(5.638m),35.064(43.830%)(1.614m),40.000(100.000%)(3.214m),25.077(62.693%)(1.615m),None,None,True,100.000
10,0,0.000,30.090,22.022,6769,409,1284,29.000(36.250%)(0.964m),58.000(58.000%)(4.071m),100.000(100.000%)(8.571m),76.000(76.000%)(6.000m),39.000(48.750%)(2.036m),20.000(50.000%)(1.071m),27.000(67.500%)(1.821m),None,None,True,100.000
