episode,close distance,near_miss,MSE,Reward,Avg reward,time,timeframe,steps,progress_pct,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,0,0,0.000,18.000,18.000,1665,271,836,100.0,1,56.513(70.641%)(3.912m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),93.000(93.000%)(7.821m),43.000(53.750%)(2.464m),40.000(100.000%)(3.214m),27.000(67.500%)(1.821m),None,None
2,84,33,0.000,14.080,16.040,111,271,836,100.0,1,25.000(31.250%)(0.536m),37.000(37.000%)(1.821m),67.000(67.000%)(5.036m),48.355(48.355%)(3.038m),23.006(28.757%)(0.322m),21.000(52.500%)(1.179m),16.245(40.612%)(0.669m),227.402,3318.442
3,0,0,0.000,16.560,16.213,113,272,840,100.0,1,43.000(53.750%)(2.464m),93.000(93.000%)(7.821m),100.000(100.000%)(8.571m),88.581(88.581%)(7.348m),47.144(58.930%)(2.908m),29.000(72.500%)(2.036m),33.996(84.991%)(2.571m),None,None
4,0,0,0.000,21.140,17.445,174,269,830,100.0,1,38.000(47.500%)(1.929m),93.000(93.000%)(7.821m),100.000(100.000%)(8.571m),93.000(93.000%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None
5,0,0,0.000,17.220,17.400,131,272,840,100.0,1,24.477(30.596%)(0.480m),51.289(51.289%)(3.352m),69.000(69.000%)(5.250m),51.000(51.000%)(3.321m),31.000(38.750%)(1.179m),17.313(43.281%)(0.783m),26.000(65.000%)(1.714m),540.279,3613.232
6,104,0,0.000,13.740,16.790,129,272,840,100.0,1,32.000(40.000%)(1.286m),51.000(51.000%)(3.321m),67.000(67.000%)(5.036m),48.581(48.581%)(3.062m),23.119(28.898%)(0.334m),27.000(67.500%)(1.821m),16.327(40.817%)(0.678m),561.933,3638.796
7,0,0,0.000,23.020,17.680,257,409,1284,100.0,1,56.490(70.613%)(3.910m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),93.000(93.000%)(7.821m),43.000(53.750%)(2.464m),40.000(100.000%)(3.214m),27.000(67.500%)(1.821m),None,None
8,0,38,0.000,22.080,18.230,208,410,1287,100.0,1,24.211(30.263%)(0.451m),50.759(50.759%)(3.296m),67.000(67.000%)(5.036m),45.000(45.000%)(2.679m),23.000(28.750%)(0.321m),17.120(42.799%)(0.763m),20.000(50.000%)(1.071m),404.220,5664.580
9,0,0,0.000,21.580,18.602,223,410,1287,100.0,1,43.000(53.750%)(2.464m),93.000(93.000%)(7.821m),100.000(100.000%)(8.571m),88.620(88.620%)(7.352m),43.000(53.750%)(2.464m),30.000(75.000%)(2.143m),27.000(67.500%)(1.821m),None,None
10,0,0,0.000,26.220,19.364,259,408,1281,100.0,1,38.000(47.500%)(1.929m),93.000(93.000%)(7.821m),100.000(100.000%)(8.571m),93.000(93.000%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None
11,0,2,0.000,22.340,19.635,251,411,1291,100.0,1,24.324(30.405%)(0.463m),50.984(50.984%)(3.320m),67.000(67.000%)(5.036m),49.000(49.000%)(3.107m),31.000(38.750%)(1.179m),17.202(43.004%)(0.772m),26.000(65.000%)(1.714m),509.753,5744.781
12,114,0,0.000,19.040,19.585,266,411,1291,100.0,1,36.000(45.000%)(1.714m),58.000(58.000%)(4.071m),75.000(75.000%)(5.893m),48.218(48.218%)(3.023m),22.937(28.671%)(0.315m),27.000(67.500%)(1.821m),16.195(40.487%)(0.664m),711.189,5908.474
13,37,33,0.000,14.230,19.173,207,416,1307,100.0,1,25.000(31.250%)(0.536m),37.000(37.000%)(1.821m),67.000(67.000%)(5.036m),48.355(48.355%)(3.038m),23.006(28.757%)(0.322m),21.000(52.500%)(1.179m),16.224(40.560%)(0.667m),227.402,2720.886
14,77,33,0.000,16.610,18.990,209,409,1284,100.0,1,25.000(31.250%)(0.536m),37.000(37.000%)(1.821m),67.000(67.000%)(5.036m),48.355(48.355%)(3.038m),23.006(28.757%)(0.322m),21.000(52.500%)(1.179m),16.224(40.560%)(0.667m),227.402,3318.442
15,222,33,0.000,18.220,18.939,194,409,1284,100.0,1,25.000(31.250%)(0.536m),37.000(37.000%)(1.821m),67.000(67.000%)(5.036m),48.355(48.355%)(3.038m),23.006(28.757%)(0.322m),21.000(52.500%)(1.179m),16.245(40.612%)(0.669m),227.402,3318.442
16,37,89,0.000,17.350,18.839,268,412,1294,100.0,1,24.000(30.000%)(0.429m),37.000(37.000%)(1.821m),67.000(67.000%)(5.036m),48.355(48.355%)(3.038m),23.006(28.757%)(0.322m),17.000(42.500%)(0.750m),16.224(40.560%)(0.667m),227.402,2712.478
17,222,67,0.000,13.000,18.496,350,486,1461,100.0,1,14.518(18.148%)(0.000m),31.037(31.037%)(1.182m),26.000(26.000%)(0.643m),23.000(23.000%)(0.321m),22.000(27.500%)(0.214m),10.180(25.449%)(0.019m),16.224(40.560%)(0.667m),62.720,2337.081
18,77,33,0.000,16.610,18.391,309,409,1284,100.0,1,25.000(31.250%)(0.536m),37.000(37.000%)(1.821m),67.000(67.000%)(5.036m),48.355(48.355%)(3.038m),23.006(28.757%)(0.322m),21.000(52.500%)(1.179m),16.224(40.560%)(0.667m),227.402,3318.442
19,0,0,0.000,21.580,18.559,255,410,1287,100.0,1,43.000(53.750%)(2.464m),93.000(93.000%)(7.821m),100.000(100.000%)(8.571m),88.581(88.581%)(7.348m),43.000(53.750%)(2.464m),29.000(72.500%)(2.036m),27.000(67.500%)(1.821m),2579.133,2766.236
20,0,37,0.000,20.640,18.663,230,411,1291,100.0,1,24.235(30.293%)(0.454m),50.806(50.806%)(3.301m),70.000(70.000%)(5.357m),46.000(46.000%)(2.786m),23.000(28.750%)(0.321m),17.137(42.842%)(0.765m),20.000(50.000%)(1.071m),431.573,5861.535
21,0,0,0.000,20.140,18.733,231,411,1291,100.0,1,43.000(53.750%)(2.464m),91.000(91.000%)(7.607m),100.000(100.000%)(8.571m),88.581(88.581%)(7.348m),47.144(58.930%)(2.908m),29.000(72.500%)(2.036m),33.996(84.991%)(2.571m),None,None
