episode,close distance,near_miss,MSE,Reward,Avg reward,time,timeframe,steps,progress_pct,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,0,0,0.000,14.880,14.880,1449,271,836,100.0,1,48.546(60.683%)(3.059m),90.948(90.948%)(7.602m),100.000(100.000%)(8.571m),93.000(93.000%)(7.821m),43.000(53.750%)(2.464m),35.192(87.980%)(2.699m),40.000(100.000%)(3.214m),None,None
2,0,39,0.000,16.300,15.590,103,277,849,100.0,1,25.499(31.873%)(0.589m),53.327(53.327%)(3.571m),69.000(69.000%)(5.250m),36.000(36.000%)(1.714m),21.000(26.250%)(0.107m),18.054(45.136%)(0.863m),21.000(52.500%)(1.179m),195.182,3272.611
3,0,0,0.000,14.800,15.327,102,271,836,100.0,1,43.000(53.750%)(2.464m),93.000(93.000%)(7.821m),100.000(100.000%)(8.571m),80.953(80.953%)(6.531m),39.139(48.924%)(2.051m),40.000(100.000%)(3.214m),28.109(70.273%)(1.940m),None,None
4,0,0,0.000,19.680,16.415,135,270,833,100.0,1,34.000(42.500%)(1.500m),63.000(63.000%)(4.607m),100.000(100.000%)(8.571m),82.000(82.000%)(6.643m),42.000(52.500%)(2.357m),23.000(57.500%)(1.393m),29.000(72.500%)(2.036m),None,None
5,0,38,0.000,17.000,16.532,129,271,836,100.0,1,24.364(30.455%)(0.468m),51.063(51.063%)(3.328m),69.000(69.000%)(5.250m),42.000(42.000%)(2.357m),23.000(28.750%)(0.321m),17.230(43.076%)(0.775m),20.000(50.000%)(1.071m),332.330,3413.908
6,93,33,0.000,14.390,16.175,134,272,840,100.0,1,25.000(31.250%)(0.536m),39.000(39.000%)(2.036m),51.000(51.000%)(3.321m),48.108(48.108%)(3.012m),22.881(28.602%)(0.309m),22.000(55.000%)(1.286m),16.155(40.387%)(0.659m),241.785,3318.284
7,0,0,0.000,17.620,16.381,196,408,1281,100.0,1,48.546(60.683%)(3.059m),90.948(90.948%)(7.602m),100.000(100.000%)(8.571m),93.000(93.000%)(7.821m),43.000(53.750%)(2.464m),35.192(87.980%)(2.699m),40.000(100.000%)(3.214m),None,None
8,0,0,0.000,21.960,17.079,198,409,1284,100.0,1,24.232(30.290%)(0.453m),50.801(50.801%)(3.300m),100.000(100.000%)(8.571m),60.000(60.000%)(4.286m),33.000(41.250%)(1.393m),17.135(42.837%)(0.764m),26.000(65.000%)(1.714m),1228.738,6383.574
9,0,0,0.000,16.220,16.983,199,411,1291,100.0,1,48.000(60.000%)(3.000m),62.000(62.000%)(4.500m),100.000(100.000%)(8.571m),88.053(88.053%)(7.291m),43.000(53.750%)(2.464m),35.051(87.627%)(2.684m),34.263(85.658%)(2.600m),None,None
10,0,0,0.000,22.540,17.539,287,409,1284,100.0,1,38.000(47.500%)(1.929m),62.000(62.000%)(4.500m),100.000(100.000%)(8.571m),70.000(70.000%)(5.357m),36.000(45.000%)(1.714m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None
