episode,close distance,near_miss,MSE,Reward,Avg reward,time,timeframe,steps,progress_pct,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,31,0,0.000,15.730,15.730,1262,280,855,100.0,1,20.505(25.631%)(0.054m),43.398(43.398%)(2.507m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),46.000(57.500%)(2.786m),14.440(36.101%)(0.476m),40.000(100.000%)(3.214m),None,None
2,0,10,0.000,16.980,16.355,99,281,858,100.0,1,25.156(31.445%)(0.552m),52.643(52.643%)(3.498m),65.000(65.000%)(4.821m),49.000(49.000%)(3.107m),30.000(37.500%)(1.071m),17.806(44.514%)(0.836m),26.000(65.000%)(1.714m),504.878,3593.938
3,0,20,0.000,13.740,15.483,100,283,865,100.0,1,27.705(34.632%)(0.826m),57.279(57.279%)(3.994m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),50.862(63.577%)(3.307m),21.000(52.500%)(1.179m),36.761(91.903%)(2.867m),None,None
4,0,0,0.000,20.640,16.772,135,279,852,100.0,1,38.000(47.500%)(1.929m),84.000(84.000%)(6.857m),100.000(100.000%)(8.571m),74.000(74.000%)(5.786m),37.000(46.250%)(1.821m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None
5,0,10,0.000,16.980,16.814,130,281,858,100.0,1,25.156(31.445%)(0.552m),52.643(52.643%)(3.498m),65.000(65.000%)(4.821m),49.000(49.000%)(3.107m),30.000(37.500%)(1.071m),17.806(44.514%)(0.836m),26.000(65.000%)(1.714m),504.878,3593.938
6,49,29,0.000,-3.200,13.478,104,227,602,80.0,0,28.000(35.000%)(0.857m),21.000(21.000%)(0.107m),32.000(32.000%)(1.286m),33.000(33.000%)(1.393m),24.000(30.000%)(0.429m),31.689(79.222%)(2.324m),40.000(100.000%)(3.214m),0.000,2826.026
7,169,0,0.000,19.870,14.391,184,418,1303,100.0,1,20.505(25.631%)(0.054m),43.398(43.398%)(2.507m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),46.000(57.500%)(2.786m),14.440(36.101%)(0.476m),40.000(100.000%)(3.214m),None,None
8,83,0,0.000,22.050,15.349,213,418,1303,100.0,1,20.505(25.631%)(0.054m),43.398(43.398%)(2.507m),100.000(100.000%)(8.571m),98.000(98.000%)(8.357m),42.000(52.500%)(2.357m),14.425(36.063%)(0.474m),26.000(65.000%)(1.714m),2606.600,8057.541
9,0,5,0.000,15.280,15.341,195,426,1327,100.0,1,28.793(35.991%)(0.942m),41.000(41.000%)(2.250m),65.000(65.000%)(4.821m),94.597(94.597%)(7.993m),46.000(57.500%)(2.786m),20.423(51.057%)(1.117m),37.347(93.366%)(2.930m),382.742,1458.372
10,0,9,0.000,20.740,15.881,250,421,1313,100.0,1,28.793(35.991%)(0.942m),41.000(41.000%)(2.250m),65.000(65.000%)(4.821m),77.000(77.000%)(6.107m),32.000(40.000%)(1.286m),20.423(51.057%)(1.117m),23.000(57.500%)(1.393m),342.597,1456.587
11,83,0,0.000,22.050,16.442,243,418,1303,100.0,1,20.505(25.631%)(0.054m),43.398(43.398%)(2.507m),100.000(100.000%)(8.571m),98.000(98.000%)(8.357m),42.000(52.500%)(2.357m),14.425(36.063%)(0.474m),26.000(65.000%)(1.714m),2606.600,8057.541
12,36,9,0.000,3.520,15.365,179,290,888,85.0,0,28.793(35.991%)(0.942m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),34.000(42.500%)(1.500m),20.459(51.147%)(1.121m),40.000(100.000%)(3.214m),0.000,5608.012
13,0,10,0.000,25.260,16.126,186,419,1306,100.0,1,25.156(31.445%)(0.552m),52.643(52.643%)(3.498m),65.000(65.000%)(4.821m),49.000(49.000%)(3.107m),30.000(37.500%)(1.071m),17.806(44.514%)(0.836m),26.000(65.000%)(1.714m),504.878,3593.938
14,0,10,0.000,25.260,16.779,185,419,1306,100.0,1,25.156(31.445%)(0.552m),52.643(52.643%)(3.498m),65.000(65.000%)(4.821m),49.000(49.000%)(3.107m),30.000(37.500%)(1.071m),17.806(44.514%)(0.836m),26.000(65.000%)(1.714m),504.878,3593.938
15,0,10,0.000,15.920,16.721,187,425,1326,100.0,1,25.156(31.445%)(0.552m),52.643(52.643%)(3.498m),65.000(65.000%)(4.821m),49.000(49.000%)(3.107m),30.000(37.500%)(1.071m),17.780(44.450%)(0.834m),24.841(62.102%)(1.590m),504.878,2961.455
16,0,15,0.000,20.900,16.982,253,422,1316,100.0,1,25.156(31.445%)(0.552m),52.643(52.643%)(3.498m),65.000(65.000%)(4.821m),49.000(49.000%)(3.107m),30.000(37.500%)(1.071m),17.780(44.450%)(0.834m),22.000(55.000%)(1.286m),504.878,2952.918
17,0,10,0.000,25.260,17.469,245,419,1306,100.0,1,25.156(31.445%)(0.552m),52.643(52.643%)(3.498m),65.000(65.000%)(4.821m),49.000(49.000%)(3.107m),30.000(37.500%)(1.071m),17.806(44.514%)(0.836m),26.000(65.000%)(1.714m),504.878,3593.938
